movement_id,product_id,warehouse_code,movement_date,movement_timestamp,movement_type,quantity_units,unit_cost_idr,total_value_idr,lot_number,expiry_date,from_location,to_location,truck_id,driver_id,temperature_log_c,humidity_pct,reference_doc,is_quarantine,remarks
5935193025,52644911,WH-08,2021-08-22,2021-08-22 10:00:50,Inbound,8.64,13866.27,416061.17,LOT90315898,2022-05-06,RACK-H37,RACK-G39,TRK-042,3092,5.6,83.0,DO507246,No,Near expiry
7235424082,35360299,WH-07,2022-11-26,2022-11-26 01:45:46,Inbound,26.98,50118.52,1063262.73,LOT36974833,2023-10-26,RACK-D27,RACK-C29,TRK-054,3111,18.3,70.3,DO614509,No,Backorder fill
5900467406,91952177,WH-02,2023-06-11,2023-06-11 20:48:12,Outbound,41.4,83344.46,3816320.38,LOT35203273,2024-10-22,RACK-F39,RACK-H36,TRK-042,3018,-3.9,68.7,DO643521,No,Routine
8013486267,16471603,WH-03,2024-05-16,2024-05-16 00:36:57,Transfer,98.9,123761.3,8522529.62,LOT69666649,2026-04-02,RACK-F15,RACK-G02,TRK-017,3102,1.8,40.9,DO423938,No,Cold chain breach
9003196560,92125747,WH-15,2024-05-26,2024-05-26 07:16:31,Outbound,4.72,77563.69,77366.1,LOT88186284,2025-07-21,RACK-A34,RACK-C15,TRK-037,3119,21.9,52.1,DO404833,No,OK
5057738619,69376563,WH-07,2020-02-14,2020-02-14 01:07:21,Inbound,10.37,82751.25,261884.28,LOT64748920,2020-11-29,RACK-H15,RACK-F45,TRK-037,3070,-12.7,42.8,DO251142,No,Cold chain breach
2922267429,22981175,WH-01,2024-08-10,2024-08-10 06:07:15,Sample,32.6,70714.85,1289449.69,LOT81837999,2025-05-28,RACK-F30,RACK-A40,TRK-022,3063,-16.2,47.6,DO132451,No,Near expiry
2782760938,77921338,WH-04,2023-05-01,2023-05-01 19:56:31,Outbound,212.3,29679.34,23461275.7,LOT88385334,2023-12-11,RACK-F22,RACK-F03,TRK-012,3014,4.9,76.7,DO885787,No,Urgent order
5781027187,34924602,WH-11,2020-08-08,2020-08-08 12:50:49,Inbound,11.0,38148.55,914300.76,LOT18496408,2022-01-08,RACK-G13,RACK-E15,TRK-048,3099,13.4,57.8,DO645180,No,Damaged packaging
6640554140,30312511,WH-06,2020-03-06,2020-03-06 04:11:21,Transfer,2.78,75898.45,75069.2,LOT50854761,2021-10-07,RACK-H48,RACK-G21,TRK-038,3054,23.7,66.7,DO889314,No,Damaged packaging
3763679438,97987648,WH-15,2021-02-05,2021-02-05 17:10:40,Return,58.69,125027.79,8682980.0,LOT33993801,2022-12-25,RACK-E36,RACK-G15,TRK-037,3120,5.7,62.5,DO319738,Yes,Near expiry
9851650352,63599168,WH-09,2022-02-23,2022-02-23 21:25:58,Inbound,32.62,118062.41,2946600.36,LOT12622617,2022-07-06,RACK-H47,RACK-B31,TRK-032,3058,19.1,88.6,DO619691,No,Urgent order
2528171038,47356482,WH-04,2022-06-28,2022-06-28 04:17:18,Outbound,28.96,55728.32,2573883.88,LOT45777092,2023-05-01,RACK-A21,RACK-G45,TRK-024,3069,-13.0,69.2,DO692383,No,Overstock
1615730660,78030917,WH-10,2020-12-08,2020-12-08 09:28:08,Outbound,84.76,46191.25,11440704.93,LOT16386296,2022-02-23,RACK-G36,RACK-A09,TRK-027,3116,7.6,40.1,DO412282,No,Damaged packaging
4463217904,80458313,WH-07,2024-12-18,2024-12-18 01:21:07,Outbound,7.28,42503.06,884252.69,LOT41470631,2026-02-14,RACK-A12,RACK-D14,TRK-056,3068,-21.4,68.2,DO547397,No,Overstock
9650990033,24826442,WH-01,2022-10-28,2022-10-28 18:48:52,Inbound,1154.23,49446.65,78283377.41,LOT23961136,2023-03-08,RACK-A45,RACK-A42,TRK-027,3036,24.2,61.1,DO165496,No,Near expiry
6186254461,37307706,WH-09,2023-08-12,2023-08-12 12:17:46,Transfer,0.44,97815.1,12757.29,LOT59330415,2023-12-25,RACK-F32,RACK-C14,TRK-008,3074,-4.6,67.5,DO918677,No,Near expiry
1137058741,80352846,WH-11,2024-07-28,2024-07-28 13:18:36,Inbound,27.57,132559.46,606622.07,LOT33951494,2024-11-13,RACK-E06,RACK-D12,TRK-022,3081,22.5,81.0,DO504641,No,Cold chain breach
2907492197,61938254,WH-15,2024-04-15,2024-04-15 14:25:35,Inbound,34.99,63024.66,3088123.21,LOT25523364,2025-05-05,RACK-C07,RACK-C34,TRK-018,3099,11.9,74.6,DO874636,No,Near expiry
7389293067,89487952,WH-05,2022-10-14,2022-10-14 16:09:21,Inbound,94.82,31530.92,5095913.41,LOT61225106,2023-09-16,RACK-D09,RACK-A26,TRK-015,3024,2.0,72.3,DO934648,No,OK
3833629426,57054801,WH-09,2021-12-18,2021-12-18 05:51:21,Inbound,5.88,58828.49,44803.8,LOT20902050,2022-06-12,RACK-B39,RACK-A27,TRK-042,3114,5.0,82.3,DO413755,No,Overstock
5581603825,58525265,WH-07,2022-05-23,2022-05-23 21:06:41,Transfer,26.81,37619.66,1133082.85,LOT23466342,2022-11-29,RACK-B42,RACK-E40,TRK-043,3073,19.7,65.1,DO741548,No,Urgent order
5384286444,70795347,WH-13,2024-07-10,2024-07-10 10:51:56,Transfer,115.1,74171.9,4313286.53,LOT23749001,2024-12-16,RACK-F14,RACK-E05,TRK-056,3098,11.6,75.5,DO757141,No,Damaged packaging
7036044063,31251033,WH-13,2021-08-07,2021-08-07 04:49:26,Outbound,6.86,50469.25,413947.08,LOT33398809,2023-07-04,RACK-B24,RACK-F45,TRK-023,3086,19.4,52.0,DO720272,No,Near expiry
9695341116,21904989,WH-11,2023-08-28,2023-08-28 18:57:03,Inbound,65.88,35714.75,610644.88,LOT78335021,2025-07-12,RACK-E47,RACK-E20,TRK-049,3083,-14.1,42.6,DO895165,No,Backorder fill
5967488841,68764261,WH-09,2024-05-13,2024-05-13 21:55:18,Inbound,1.3,34582.77,160094.28,LOT42925475,2025-03-29,RACK-C11,RACK-G42,TRK-008,3035,-21.2,60.5,DO268810,No,Damaged packaging
4187478008,79117416,WH-01,2021-09-06,2021-09-06 17:27:40,Inbound,7.74,97483.92,875421.2,LOT71114483,2023-02-17,RACK-B03,RACK-G33,TRK-027,3023,13.6,69.8,DO760535,No,Cold chain breach
1458001042,29732457,WH-15,2023-06-04,2023-06-04 09:52:13,Outbound,8.9,116261.61,84591.74,LOT85918128,2024-11-06,RACK-C07,RACK-A35,TRK-035,3106,-10.3,45.0,DO573412,No,Routine
8805629469,33866858,WH-14,2022-09-24,2022-09-24 08:03:46,Outbound,13.17,63040.13,855972.86,LOT42294819,2023-10-05,RACK-B04,RACK-H34,TRK-036,3053,-17.7,56.3,DO477854,No,OK
3307238092,64242286,WH-12,2020-09-30,2020-09-30 01:23:17,Return,4.25,88512.96,512787.45,LOT85733710,2020-10-22,RACK-B17,RACK-G23,TRK-007,3073,-15.6,65.3,DO861047,No,Cold chain breach
6098839357,45347440,WH-02,2024-09-25,2024-09-25 22:34:34,Transfer,11.91,134712.15,1432007.19,LOT36146019,2025-08-21,RACK-E15,RACK-B21,TRK-012,3106,-21.0,87.7,DO984496,No,Near expiry
7965375268,55808627,WH-05,2022-03-13,2022-03-13 10:04:23,Outbound,5.92,18046.2,280383.06,LOT69936609,2022-11-26,RACK-G22,RACK-D36,TRK-022,3066,23.7,56.7,DO725206,No,Damaged packaging
3050340200,77290613,WH-08,2024-08-24,2024-08-24 00:10:30,Transfer,42.93,47643.94,4330513.81,LOT50470505,2025-05-31,RACK-D26,RACK-G30,TRK-008,3059,-2.3,45.7,DO687116,No,Routine
1427436296,30001274,WH-06,2020-12-19,2020-12-19 01:31:41,Outbound,14.43,61052.49,1481161.85,LOT22839089,2022-12-13,RACK-D50,RACK-E28,TRK-032,3052,13.6,57.4,DO305932,No,Near expiry
1717205234,14774398,WH-01,2020-06-05,2020-06-05 11:21:33,Scrap,14.12,21158.87,1397445.07,LOT52993695,2020-12-16,RACK-B38,RACK-D34,TRK-007,3089,20.4,62.9,DO283262,No,Backorder fill
2427040406,74769536,WH-03,2023-01-18,2023-01-18 02:54:59,Adjustment,23.09,23649.22,1200889.17,LOT76297215,2023-12-04,RACK-C50,RACK-D37,TRK-056,3041,-14.7,54.5,DO337849,No,Urgent order
9751884661,78344834,WH-12,2020-04-24,2020-04-24 07:03:13,Outbound,53.85,77463.09,5398015.99,LOT74155643,2020-07-06,RACK-A29,RACK-H46,TRK-041,3025,-3.9,48.5,DO112378,No,Damaged packaging
5598058770,39599747,WH-06,2023-08-28,2023-08-28 11:23:25,Transfer,6.56,94850.03,700023.59,LOT49094016,2025-03-15,RACK-B14,RACK-B43,TRK-049,3051,18.8,69.5,DO594006,No,Cold chain breach
8523947749,39767172,WH-08,2020-07-17,2020-07-17 12:47:22,Outbound,5.88,144218.0,809745.65,LOT20311208,2020-07-22,RACK-F08,RACK-E29,TRK-035,3060,-3.5,48.1,DO283215,No,Cold chain breach
1784856793,44414601,WH-04,2024-12-24,2024-12-24 15:07:02,Inbound,8.02,50219.17,346327.8,LOT70559823,2026-03-21,RACK-E19,RACK-A25,TRK-052,3101,-20.1,57.7,DO207392,No,Backorder fill
1733907810,80513675,WH-06,2024-08-31,2024-08-31 02:53:38,Outbound,73.72,139708.32,3683408.74,LOT79463243,2026-06-24,RACK-D09,RACK-F38,TRK-060,3008,-8.8,69.9,DO973060,Yes,Routine
9148005900,71817356,WH-15,2020-11-06,2020-11-06 20:56:31,Outbound,50.45,123332.27,3050990.75,LOT15131707,2021-04-03,RACK-F14,RACK-H49,TRK-017,3013,15.0,84.9,DO731922,No,Near expiry
8675848986,85141132,WH-11,2024-09-13,2024-09-13 09:54:32,Scrap,2.29,60378.42,321583.29,LOT64829869,2025-10-22,RACK-B03,RACK-G25,TRK-014,3093,-6.5,83.6,DO973202,No,Urgent order
3121881430,70338703,WH-07,2024-09-25,2024-09-25 14:35:57,Inbound,51.39,36025.16,7214999.38,LOT34745351,2024-11-25,RACK-D09,RACK-C28,TRK-041,3091,-6.9,72.0,DO993526,No,Urgent order
4948707093,79209104,WH-12,2020-04-18,2020-04-18 04:47:49,Inbound,6.47,19558.98,607702.97,LOT42209798,2020-04-22,RACK-A15,RACK-C06,TRK-017,3026,20.1,81.0,DO681207,No,Cold chain breach
2718777313,60263569,WH-13,2021-10-10,2021-10-10 12:24:42,Transfer,1.74,62674.78,259767.27,LOT50806022,2023-01-20,RACK-G27,RACK-C34,TRK-027,3064,-5.2,73.6,DO348811,No,Backorder fill
7328502780,40836242,WH-04,2021-03-04,2021-03-04 14:53:39,Inbound,2.83,149861.46,221282.87,LOT74045973,2023-03-03,RACK-D13,RACK-D34,TRK-046,3044,24.1,80.2,DO601190,No,OK
1151394409,94731410,WH-13,2024-10-01,2024-10-01 21:56:52,Outbound,101.85,68752.03,7766774.13,LOT25478553,2025-09-23,RACK-C50,RACK-G49,TRK-043,3071,20.0,40.0,DO149232,No,Overstock
7987012075,49199255,WH-11,2021-06-06,2021-06-06 13:10:10,Outbound,79.52,94871.66,9147500.82,LOT57892503,2022-01-07,RACK-C30,RACK-C02,TRK-036,3119,9.5,72.6,DO985144,No,Overstock
2386791932,20232346,WH-07,2022-11-07,2022-11-07 03:08:44,Inbound,333.91,76686.03,14641258.5,LOT36177783,2024-01-26,RACK-E43,RACK-G16,TRK-004,3038,-3.1,43.6,DO615885,No,Urgent order
1121787830,34688666,WH-02,2022-08-04,2022-08-04 11:39:02,Outbound,37.01,65714.22,4082432.01,LOT40907746,2023-06-27,RACK-G50,RACK-H33,TRK-027,3075,-5.8,83.6,DO311149,No,Damaged packaging
1208044466,60564123,WH-02,2023-02-19,2023-02-19 15:49:42,Outbound,119.02,63641.56,16412555.53,LOT20840625,2024-02-16,RACK-H37,RACK-F16,TRK-043,3042,-21.8,54.5,DO549370,No,Urgent order
5602628928,23190173,WH-05,2023-12-29,2023-12-29 12:37:08,Inbound,0.77,84158.87,77471.16,LOT32145626,2025-11-18,RACK-E10,RACK-F09,TRK-045,3036,-6.5,62.1,DO780979,No,Cold chain breach
1478607046,69440670,WH-02,2022-05-27,2022-05-27 14:20:17,Outbound,9.56,139148.3,66750.44,LOT16011029,2024-01-25,RACK-C46,RACK-A50,TRK-011,3114,-5.7,41.8,DO662453,No,Near expiry
6673921351,15264925,WH-04,2024-01-23,2024-01-23 16:09:42,Inbound,58.93,66068.06,8235742.61,LOT62432782,2025-01-06,RACK-H47,RACK-G49,TRK-024,3097,17.9,79.1,DO383567,No,Damaged packaging
5189778732,10828444,WH-05,2021-10-18,2021-10-18 17:33:34,Outbound,13.06,124634.61,599513.03,LOT46670071,2022-11-26,RACK-C33,RACK-C41,TRK-026,3045,10.7,59.0,DO515251,No,Routine
6772849350,98034843,WH-13,2022-05-23,2022-05-23 01:34:22,Inbound,12.07,88861.66,1036821.5,LOT61449819,2022-11-18,RACK-E10,RACK-G36,TRK-010,3059,-3.3,43.2,DO740136,No,Overstock
3038906066,49514145,WH-08,2024-09-07,2024-09-07 10:29:48,Inbound,5.8,118412.64,674887.08,LOT80669966,2026-06-12,RACK-H39,RACK-C07,TRK-006,3100,-9.2,50.8,DO517254,No,Damaged packaging
3465097720,64094366,WH-08,2022-05-14,2022-05-14 14:51:19,Inbound,7.74,120685.63,99201.75,LOT18768605,2022-10-29,RACK-B40,RACK-C10,TRK-007,3066,8.2,85.4,DO767675,No,Damaged packaging
6116356496,40748710,WH-02,2024-05-23,2024-05-23 20:23:24,Outbound,22.49,114311.68,2234220.72,LOT81427134,2026-02-14,RACK-H05,RACK-C17,TRK-030,3086,7.1,64.7,DO230142,No,OK
3359980149,45441192,WH-12,2020-10-10,2020-10-10 02:42:48,Outbound,29.64,98037.87,1663043.79,LOT21332256,2021-03-18,RACK-H08,RACK-F38,TRK-054,3013,-12.5,55.5,DO563252,No,Overstock
5855195227,82234537,WH-05,2024-08-23,2024-08-23 22:26:57,Scrap,47.84,12190.05,2332283.84,LOT87632025,2025-08-20,RACK-E30,RACK-G43,TRK-053,3055,23.7,44.4,DO328646,No,Overstock
2027012912,72503976,WH-07,2022-07-29,2022-07-29 23:54:34,Inbound,19.73,15666.47,193918.27,LOT64916348,2022-12-03,RACK-D02,RACK-A08,TRK-005,3061,6.8,73.1,DO793846,No,Backorder fill
6574814598,47301291,WH-04,2024-04-03,2024-04-03 07:45:07,Outbound,1.5,114480.3,181298.35,LOT57629469,2025-11-03,RACK-F24,RACK-A41,TRK-009,3111,14.7,82.0,DO639180,No,Overstock
5013574790,86976685,WH-05,2020-07-02,2020-07-02 09:04:34,Outbound,51.41,123260.91,4681948.84,LOT43964022,2021-10-01,RACK-C30,RACK-G46,TRK-020,3051,9.6,47.3,DO284273,No,Overstock
3454309383,34879150,WH-01,2023-06-09,2023-06-09 18:09:35,Outbound,12.4,44836.15,1053919.63,LOT77180107,2025-05-20,RACK-A44,RACK-D15,TRK-041,3109,3.4,56.7,DO776380,No,Damaged packaging
4186989402,26500783,WH-13,2022-03-04,2022-03-04 19:10:56,Inbound,24.43,70018.07,3143034.19,LOT61753043,2023-03-18,RACK-F03,RACK-H07,TRK-036,3032,-14.7,73.0,DO900961,No,Overstock
1058873447,89847475,WH-10,2020-07-19,2020-07-19 14:42:34,Inbound,17.95,101153.37,1715784.58,LOT30860890,2020-07-28,RACK-A25,RACK-E18,TRK-048,3096,4.0,53.1,DO508154,Yes,OK
9792948956,47943859,WH-10,2020-01-28,2020-01-28 04:57:10,Scrap,2.42,66566.74,122055.1,LOT20687703,2022-01-11,RACK-D31,RACK-C21,TRK-047,3109,0.5,44.5,DO192746,No,OK
2851017253,74246835,WH-02,2022-08-19,2022-08-19 13:03:30,Outbound,1.45,110232.74,211052.85,LOT58007953,2023-07-23,RACK-E43,RACK-E11,TRK-042,3106,-9.4,77.3,DO925903,No,Routine
8384584179,85464758,WH-13,2022-07-13,2022-07-13 02:36:29,Transfer,67.54,130232.44,9369341.74,LOT58146570,2022-09-25,RACK-C50,RACK-E10,TRK-033,3075,-21.3,76.3,DO821771,No,Routine
6038282581,75276471,WH-12,2022-06-22,2022-06-22 12:51:28,Outbound,26.95,123270.36,1546097.96,LOT46691888,2022-12-25,RACK-B08,RACK-B12,TRK-015,3013,1.8,51.2,DO958993,No,OK
1118522062,25629368,WH-12,2020-02-18,2020-02-18 22:56:51,Outbound,48.78,15643.44,1717193.88,LOT51551659,2020-03-22,RACK-B05,RACK-C27,TRK-011,3067,-19.5,52.0,DO314283,No,Backorder fill
3678623193,85883061,WH-06,2022-04-26,2022-04-26 01:12:11,Return,66.93,7900.87,5689804.03,LOT94389573,2023-11-27,RACK-F06,RACK-B29,TRK-002,3089,23.2,82.6,DO533821,No,Cold chain breach
6398453850,54690490,WH-08,2022-10-22,2022-10-22 14:05:35,Inbound,13.94,107214.9,865909.37,LOT45684366,2024-03-29,RACK-G13,RACK-D16,TRK-037,3118,17.6,66.6,DO938278,No,Overstock
4682625827,18645692,WH-09,2024-05-27,2024-05-27 02:31:36,Scrap,8.27,72253.23,455203.1,LOT49279608,2024-12-12,RACK-A31,RACK-C25,TRK-007,3003,6.6,55.9,DO972088,No,OK
5453019300,24037565,WH-01,2024-06-08,2024-06-08 03:43:28,Outbound,139.13,84999.25,7144226.74,LOT55135633,2025-05-09,RACK-A01,RACK-F12,TRK-020,3064,-2.5,86.1,DO342101,Yes,Cold chain breach
8443366263,45778109,WH-08,2022-08-26,2022-08-26 21:47:47,Inbound,45.69,130080.46,5097626.76,LOT10272033,2023-07-06,RACK-F31,RACK-D50,TRK-022,3118,-9.2,74.5,DO595116,No,Routine
1574552188,94113984,WH-10,2022-04-22,2022-04-22 07:21:35,Inbound,16.19,43158.31,1582463.05,LOT28190921,2022-06-22,RACK-H35,RACK-A28,TRK-011,3100,-2.1,70.9,DO155642,No,Cold chain breach
7981526982,83566784,WH-13,2021-10-15,2021-10-15 11:02:14,Return,28.33,148454.93,2041219.88,LOT60794811,2023-04-11,RACK-C29,RACK-B48,TRK-011,3077,-10.7,75.0,DO637949,No,Damaged packaging
7873855999,67732162,WH-06,2022-08-25,2022-08-25 19:00:35,Outbound,2.49,24655.76,206382.27,LOT99339205,2022-10-20,RACK-B19,RACK-C12,TRK-016,3052,23.5,42.8,DO112429,No,Overstock
7452957369,99118273,WH-14,2022-09-21,2022-09-21 15:34:11,Outbound,5.59,60800.81,75947.55,LOT76660289,2024-09-01,RACK-B06,RACK-F18,TRK-051,3074,-1.3,44.9,DO289697,No,Routine
2718639701,91917508,WH-05,2021-01-10,2021-01-10 07:43:17,Outbound,28.93,32575.99,4186064.05,LOT48289286,2022-07-21,RACK-H10,RACK-H20,TRK-053,3113,6.0,53.9,DO542964,No,Cold chain breach
3336974291,44432581,WH-12,2020-09-09,2020-09-09 23:30:05,Outbound,41.48,49665.2,1553371.46,LOT10744501,2022-01-30,RACK-H18,RACK-F35,TRK-014,3037,20.5,65.7,DO255781,No,OK
4399042536,74322630,WH-04,2020-06-06,2020-06-06 04:21:00,Inbound,23.52,125395.22,923161.72,LOT66118068,2021-02-06,RACK-A43,RACK-F22,TRK-016,3038,-19.4,80.0,DO607639,No,Near expiry
6633660959,52313792,WH-03,2021-12-19,2021-12-19 05:30:44,Return,18.3,15422.28,493465.21,LOT46628410,2022-10-02,RACK-B40,RACK-G37,TRK-045,3002,-9.6,67.5,DO436494,No,Overstock
9198141604,29508296,WH-08,2021-04-21,2021-04-21 15:17:48,Outbound,123.87,75353.29,4535605.61,LOT64055800,2022-07-05,RACK-G46,RACK-C22,TRK-003,3120,-19.4,82.6,DO248772,No,Overstock
3115171667,52574409,WH-02,2021-01-16,2021-01-16 08:39:14,Transfer,1.13,45198.64,120086.63,LOT58351609,2021-04-15,RACK-F26,RACK-E45,TRK-031,3109,5.0,50.8,DO617859,No,Backorder fill
3933818755,68056778,WH-14,2023-12-24,2023-12-24 19:16:55,Outbound,3.02,105047.8,125193.49,LOT68173461,2024-07-25,RACK-C09,RACK-G19,TRK-050,3014,-5.8,58.1,DO529442,No,OK
1051154443,89859279,WH-11,2023-06-29,2023-06-29 16:04:16,Adjustment,127.2,56301.27,11281084.85,LOT83149131,2024-07-31,RACK-H04,RACK-G30,TRK-045,3029,-19.9,57.8,DO592025,No,Overstock
5613481753,32179408,WH-03,2024-08-16,2024-08-16 20:47:57,Inbound,2.62,115217.99,40857.73,LOT90687659,2024-09-22,RACK-D40,RACK-C21,TRK-032,3073,17.0,45.8,DO690577,Yes,Cold chain breach
8581344389,11178705,WH-06,2024-05-03,2024-05-03 13:52:05,Transfer,28.61,6089.11,3824043.14,LOT41480944,2025-04-17,RACK-H08,RACK-E07,TRK-022,3111,12.2,75.8,DO455246,No,Near expiry
6986310336,90964695,WH-02,2023-11-06,2023-11-06 03:22:11,Inbound,1.04,112722.3,49783.15,LOT78281558,2025-02-04,RACK-F18,RACK-F06,TRK-023,3095,-5.0,56.3,DO679158,No,Backorder fill
