cow_id,rfid_tag,breed,date_of_birth,acquisition_date,farm_code,region,health_status,feed_program,weight_kg,lactation_number,avg_daily_yield_liters,is_pregnant,vaccination_status,last_vet_check,milk_fat_pct,milk_protein_pct,somatic_cell_count,is_active,notes
9601059,RF239651408,Guernsey,2020-07-11,2022-10-07,FARM-015,South Sulawesi,Good,Standard Mix,406.8,3,21.36,No,Up-to-date,2024-02-14,3.69,3.19,222172,Yes,Excellent genetics
1179690,RF594830511,Holstein,2019-04-09,2020-05-02,FARM-012,Central Java,Good,Organic Blend,505.5,5,27.88,No,Up-to-date,2024-07-17,3.42,3.4,207936,Yes,Recovering
6619187,RF885980740,Holstein,2017-09-11,2020-01-22,FARM-028,West Java,Excellent,Premium Silage,600.0,2,33.91,Yes,Up-to-date,2024-06-15,4.33,3.75,727741,Yes,None
2326581,RF208482276,Holstein,2014-06-18,2015-08-07,FARM-018,West Java,Good,Hay-Based,572.0,1,27.81,No,Up-to-date,2024-12-09,3.9,3.09,263464,Yes,High performer
4915256,RF767994493,Holstein,2019-12-01,2023-10-02,FARM-031,Bali,Fair,Hay-Based,670.3,1,32.33,Yes,Up-to-date,2023-06-20,3.69,4.06,198723,No,Low yield alert
8486970,RF829288603,Holstein,2017-04-27,2020-03-18,FARM-001,East Java,Under Treatment,Organic Blend,573.9,1,27.83,No,Up-to-date,2023-04-23,3.32,2.82,763080,No,Monitor closely
9797692,RF890474196,Holstein,2017-11-21,2021-03-15,FARM-022,East Java,Fair,Pasture-Fed,578.5,1,31.54,Yes,Up-to-date,2024-01-09,4.39,3.96,365761,Yes,Excellent genetics
7897151,RF836355132,Brown Swiss,2020-09-07,2024-11-24,FARM-034,Yogyakarta,Excellent,Pasture-Fed,413.4,5,17.98,No,Up-to-date,2023-05-26,4.13,2.84,655640,Yes,Recovering
7962689,RF394123530,Ayrshire,2016-01-12,2017-09-05,FARM-035,South Sulawesi,Good,Pasture-Fed,406.0,1,26.85,No,Up-to-date,2024-11-26,4.11,3.26,667766,Yes,High performer
1212482,RF565423722,Holstein,2015-06-20,2017-01-10,FARM-030,East Java,Fair,Standard Mix,618.8,3,24.19,Yes,Up-to-date,2024-12-02,3.58,3.75,598600,No,Excellent genetics
8454220,RF587326515,Holstein,2018-04-05,2022-06-23,FARM-003,West Java,Fair,Premium Silage,569.8,2,31.84,No,Up-to-date,2023-12-27,4.92,2.8,313647,Yes,High performer
3801173,RF390628512,Guernsey,2020-10-21,2024-02-11,FARM-010,Aceh,Excellent,Organic Blend,451.0,4,21.19,Yes,Up-to-date,2024-04-29,5.63,3.15,761459,Yes,Recovering
3702870,RF567954159,Milking Shorthorn,2016-06-22,2017-07-07,FARM-021,Bali,Excellent,Concentrate Rich,408.8,5,17.47,Yes,Up-to-date,2023-07-24,3.98,2.92,644191,No,Recovering
7929943,RF574487943,Holstein,2018-02-13,2019-08-22,FARM-021,East Java,Good,Standard Mix,562.7,5,25.48,No,Up-to-date,2024-02-25,4.4,4.08,77705,No,Recovering
9797727,RF500625049,Holstein,2012-12-28,2017-09-20,FARM-009,East Java,Poor,Concentrate Rich,473.0,5,29.5,Yes,Overdue,2023-05-09,4.25,2.81,593171,Yes,None
1933413,RF982551497,Holstein,2012-12-12,2013-09-30,FARM-019,East Java,Good,Concentrate Rich,600.2,6,33.25,Yes,Up-to-date,2024-06-07,5.12,2.87,265025,Yes,Excellent genetics
6193258,RF774566985,Holstein,2020-04-20,2023-07-28,FARM-020,Yogyakarta,Poor,Concentrate Rich,523.2,5,26.15,No,Up-to-date,2023-03-10,3.2,3.65,176913,Yes,Monitor closely
9994347,RF230794015,Jersey,2014-04-16,2015-05-13,FARM-020,Central Java,Under Treatment,Concentrate Rich,437.0,4,18.41,No,Up-to-date,2024-09-19,4.97,4.0,697137,Yes,Monitor closely
8061035,RF896356429,Holstein,2019-02-18,2019-09-30,FARM-035,West Java,Good,Standard Mix,519.3,4,26.32,Yes,Up-to-date,2024-01-12,4.94,3.35,781541,Yes,Recovering
2556017,RF111832249,Jersey,2016-09-03,2021-09-23,FARM-038,Central Java,Good,Concentrate Rich,450.6,1,13.79,No,Up-to-date,2023-12-30,5.7,3.46,530614,Yes,Monitor closely
8061051,RF519429677,Brown Swiss,2016-01-05,2019-04-24,FARM-033,West Java,Good,Standard Mix,506.4,3,15.45,No,Up-to-date,2023-05-24,3.92,3.87,367645,No,None
7471232,RF644365864,Holstein,2021-05-30,2024-08-12,FARM-034,Central Java,Good,Organic Blend,483.9,2,24.45,No,Up-to-date,2024-02-18,3.38,2.84,216911,Yes,Low yield alert
8880256,RF968179835,Normande,2013-03-11,2016-06-25,FARM-016,West Java,Poor,Hay-Based,261.0,2,20.88,No,Partial,2023-03-07,3.36,3.15,89235,Yes,None
7536772,RF215600122,Holstein,2016-12-13,2021-09-21,FARM-029,Central Java,Under Treatment,Organic Blend,556.8,3,31.04,Yes,Up-to-date,2024-03-24,4.97,3.12,219963,Yes,Excellent genetics
4817030,RF135690309,Holstein,2021-01-25,2022-08-21,FARM-009,South Sulawesi,Good,Standard Mix,543.3,1,30.18,No,Up-to-date,2023-07-09,4.97,4.14,723429,Yes,Monitor closely
2654343,RF699896664,Jersey,2021-05-02,2022-12-27,FARM-009,Bali,Good,Hay-Based,496.7,2,15.85,No,Up-to-date,2023-05-11,5.23,3.22,173655,Yes,None
1671305,RF369919207,Holstein,2018-09-29,2022-04-08,FARM-025,Yogyakarta,Excellent,Concentrate Rich,500.6,1,38.52,No,Up-to-date,2024-08-12,3.83,3.52,690939,Yes,Recovering
5963914,RF382451081,Jersey,2018-12-08,2019-09-30,FARM-002,West Java,Good,Standard Mix,359.9,5,9.8,No,Up-to-date,2023-07-29,4.62,3.83,745558,No,None
8650891,RF922029059,Holstein,2014-08-23,2017-11-25,FARM-003,Central Java,Excellent,Standard Mix,497.1,5,34.43,No,Partial,2024-07-18,4.44,2.98,93768,Yes,Recovering
2949258,RF344550216,Guernsey,2017-09-10,2019-06-13,FARM-002,South Sulawesi,Excellent,Concentrate Rich,540.3,2,16.79,Yes,Up-to-date,2024-01-24,4.97,3.83,629334,Yes,Recovering
2916496,RF570248300,Guernsey,2020-08-02,2023-03-12,FARM-008,South Sulawesi,Under Treatment,Standard Mix,444.5,2,17.56,Yes,Up-to-date,2023-03-01,3.82,2.93,60537,Yes,Low yield alert
9207960,RF972546113,Jersey,2020-06-09,2023-12-09,FARM-004,West Java,Excellent,Premium Silage,438.9,6,27.94,Yes,Up-to-date,2024-11-01,5.52,4.2,186017,Yes,Recovering
7897247,RF857261987,Guernsey,2019-05-17,2020-07-20,FARM-023,South Sulawesi,Fair,Standard Mix,414.6,1,23.14,No,Up-to-date,2024-07-18,3.96,3.72,602436,No,High performer
8618143,RF767729743,Jersey,2019-10-29,2023-05-09,FARM-032,Central Java,Excellent,Premium Silage,375.1,1,26.34,No,Up-to-date,2024-07-20,3.75,3.32,198857,Yes,Monitor closely
2654371,RF136245424,Guernsey,2019-10-31,2022-10-16,FARM-018,Central Java,Good,Concentrate Rich,476.4,2,24.43,Yes,Up-to-date,2024-09-16,4.2,2.83,451172,Yes,None
4685993,RF133614668,Holstein,2014-07-08,2016-02-29,FARM-035,Bali,Poor,Pasture-Fed,532.1,3,20.8,No,Up-to-date,2023-09-26,5.31,3.63,78673,Yes,Excellent genetics
9371819,RF217263564,Jersey,2016-11-12,2022-03-19,FARM-036,Central Java,Fair,Hay-Based,409.5,4,19.84,No,Partial,2024-04-19,4.3,3.81,594119,Yes,Recovering
4554926,RF832934806,Montbéliarde,2017-03-29,2021-11-30,FARM-018,West Java,Excellent,Organic Blend,403.3,1,23.4,No,Up-to-date,2024-09-22,3.91,3.18,312682,Yes,Excellent genetics
9437374,RF576535947,Holstein,2012-02-20,2013-04-29,FARM-030,West Java,Excellent,Premium Silage,450.2,3,32.99,No,Up-to-date,2024-07-23,3.77,2.88,133410,Yes,Excellent genetics
9699518,RF378679814,Normande,2018-03-08,2020-06-08,FARM-032,West Java,Good,Premium Silage,535.3,2,19.56,No,Up-to-date,2023-04-28,4.9,3.06,581333,Yes,Excellent genetics
1704130,RF376429550,Jersey,2015-07-23,2016-04-13,FARM-002,Yogyakarta,Fair,Standard Mix,374.3,1,34.82,No,Up-to-date,2023-12-25,3.48,3.51,168680,Yes,Monitor closely
5275844,RF557924398,Jersey,2014-04-15,2016-08-09,FARM-019,West Java,Good,Concentrate Rich,409.0,4,19.19,No,Up-to-date,2024-10-29,4.17,4.12,358347,Yes,Monitor closely
8618181,RF327074541,Holstein,2016-02-17,2016-11-14,FARM-021,East Java,Fair,Organic Blend,534.6,1,26.01,No,Up-to-date,2023-08-09,4.18,3.62,738976,Yes,Recovering
3309764,RF640624591,Holstein,2020-07-20,2024-09-06,FARM-037,Yogyakarta,Fair,Organic Blend,533.1,1,31.28,Yes,Overdue,2023-02-22,4.78,3.72,595611,Yes,High performer
3965125,RF488656916,Jersey,2014-03-09,2019-05-14,FARM-015,East Java,Fair,Premium Silage,524.6,5,15.75,Yes,Overdue,2024-02-24,4.14,3.29,580205,Yes,High performer
5800144,RF987752467,Guernsey,2019-04-30,2022-07-14,FARM-009,South Sulawesi,Excellent,Pasture-Fed,468.0,2,14.34,No,Up-to-date,2024-09-12,3.88,3.2,379089,Yes,Recovering
8421584,RF293183018,Montbéliarde,2016-09-20,2020-01-17,FARM-030,West Java,Excellent,Standard Mix,353.6,3,14.21,No,Partial,2023-04-14,3.53,2.85,502376,Yes,Monitor closely
3670226,RF236851601,Jersey,2012-10-26,2014-01-20,FARM-026,Yogyakarta,Excellent,Standard Mix,470.6,3,16.0,No,Overdue,2023-12-11,4.74,3.66,97435,Yes,High performer
1835219,RF851741358,Guernsey,2017-01-12,2019-10-26,FARM-009,Bali,Fair,Organic Blend,469.7,4,12.26,No,Up-to-date,2023-06-05,5.53,3.63,437840,Yes,Recovering
8454356,RF204044084,Jersey,2016-04-02,2018-07-17,FARM-015,Central Java,Good,Organic Blend,354.1,3,9.76,No,Up-to-date,2024-03-12,3.94,3.34,237082,No,None
8356053,RF472959512,Jersey,2021-02-16,2022-10-20,FARM-019,West Java,Excellent,Standard Mix,394.2,2,23.16,Yes,Up-to-date,2023-09-23,5.77,3.85,292928,Yes,Monitor closely
8683734,RF142675910,Jersey,2013-01-28,2014-09-23,FARM-035,East Java,Excellent,Standard Mix,500.7,3,23.3,No,Up-to-date,2023-10-16,5.65,3.6,516432,Yes,Recovering
8388822,RF629629113,Guernsey,2015-04-23,2016-05-31,FARM-017,West Java,Excellent,Standard Mix,516.1,5,27.64,No,Partial,2023-03-22,5.14,3.11,127961,Yes,Excellent genetics
1442027,RF838667347,Jersey,2015-10-05,2017-10-19,FARM-021,South Sulawesi,Excellent,Premium Silage,409.2,4,19.08,No,Up-to-date,2023-07-14,5.39,3.73,706493,Yes,Low yield alert
6357229,RF310107983,Holstein,2019-01-13,2019-07-28,FARM-017,East Java,Good,Premium Silage,519.5,3,30.45,No,Up-to-date,2024-10-12,5.48,4.13,274593,Yes,None
2130159,RF758609850,Guernsey,2017-07-02,2021-02-13,FARM-025,Yogyakarta,Excellent,Standard Mix,452.1,4,27.41,No,Partial,2023-11-04,5.39,4.03,750423,Yes,Low yield alert
9896176,RF910633311,Holstein,2016-05-25,2020-03-29,FARM-019,Central Java,Good,Standard Mix,566.7,2,30.01,No,Up-to-date,2023-11-23,4.92,3.29,467426,Yes,Recovering
4194548,RF330968493,Guernsey,2021-06-03,2024-08-27,FARM-027,West Java,Fair,Standard Mix,438.6,3,23.88,No,Up-to-date,2024-03-28,4.31,3.16,107287,Yes,Low yield alert
5734646,RF278815751,Guernsey,2014-06-15,2016-11-06,FARM-035,West Java,Good,Pasture-Fed,443.7,1,16.65,No,Up-to-date,2024-09-11,4.6,4.13,72143,Yes,None
6357240,RF656895122,Milking Shorthorn,2020-10-01,2023-02-10,FARM-014,Central Java,Excellent,Premium Silage,401.4,4,13.11,No,Overdue,2023-08-23,3.95,3.03,442041,Yes,Monitor closely
6357242,RF665384538,Holstein,2018-03-14,2022-10-20,FARM-007,East Java,Fair,Premium Silage,466.9,1,32.74,Yes,Up-to-date,2024-10-08,5.21,3.15,335693,Yes,Recovering
2425085,RF179339044,Holstein,2019-05-08,2022-02-01,FARM-033,Yogyakarta,Fair,Standard Mix,575.1,4,27.74,Yes,Overdue,2024-09-11,5.59,2.93,666767,Yes,Monitor closely
6947075,RF592746176,Ayrshire,2021-04-28,2023-07-26,FARM-013,West Java,Under Treatment,Organic Blend,379.1,2,19.83,No,Up-to-date,2023-08-16,5.71,3.59,556828,Yes,Low yield alert
3047685,RF500224021,Holstein,2017-12-24,2021-04-24,FARM-035,Yogyakarta,Good,Organic Blend,551.1,1,23.0,Yes,Overdue,2024-04-02,4.16,3.59,724044,Yes,Monitor closely
9797899,RF368402236,Holstein,2021-01-29,2022-01-15,FARM-006,West Java,Good,Standard Mix,497.7,1,31.83,No,Up-to-date,2023-08-27,3.35,3.49,481865,Yes,High performer
6717708,RF387918390,Holstein,2021-05-10,2022-09-10,FARM-014,Bali,Fair,Organic Blend,479.4,3,19.76,No,Up-to-date,2023-11-26,4.4,3.48,631757,Yes,Low yield alert
5406989,RF658280271,Jersey,2012-11-29,2013-12-29,FARM-008,West Java,Good,Pasture-Fed,437.1,1,20.58,Yes,Up-to-date,2023-06-24,4.83,3.53,196659,Yes,Excellent genetics
7176462,RF826583015,Holstein,2016-09-08,2019-06-02,FARM-018,East Java,Good,Standard Mix,547.4,1,35.97,No,Up-to-date,2024-06-19,4.98,3.92,799181,Yes,Excellent genetics
7307535,RF245319411,Jersey,2014-10-26,2017-12-15,FARM-011,East Java,Fair,Premium Silage,387.6,5,27.16,No,Up-to-date,2023-03-10,5.78,2.81,785538,Yes,Low yield alert
3342608,RF171695888,Jersey,2013-01-19,2016-07-23,FARM-023,Yogyakarta,Poor,Standard Mix,373.0,1,15.25,Yes,Up-to-date,2023-10-19,5.33,4.02,662859,Yes,High performer
5505300,RF183189355,Jersey,2019-01-01,2023-10-17,FARM-038,West Java,Fair,Standard Mix,407.6,2,12.9,Yes,Up-to-date,2024-06-18,4.73,3.87,396198,Yes,Excellent genetics
9699607,RF324741375,Normande,2018-10-13,2020-10-29,FARM-011,West Java,Excellent,Standard Mix,342.5,4,11.82,No,Up-to-date,2023-05-27,3.63,4.02,389044,Yes,None
4882711,RF916051762,Brown Swiss,2013-07-15,2016-11-23,FARM-008,West Java,Good,Concentrate Rich,439.0,2,15.82,No,Up-to-date,2024-06-18,4.02,2.91,684787,Yes,Monitor closely
1540377,RF846357679,Holstein,2019-02-08,2024-04-09,FARM-017,Yogyakarta,Good,Standard Mix,574.9,1,23.02,No,Up-to-date,2024-01-10,5.42,3.88,412798,Yes,Monitor closely
6848796,RF902759981,Brown Swiss,2018-12-02,2022-07-20,FARM-001,West Java,Good,Premium Silage,484.1,5,21.75,No,Up-to-date,2024-01-13,5.58,3.5,63625,Yes,None
5734685,RF394391911,Guernsey,2019-04-05,2021-04-17,FARM-004,Aceh,Fair,Concentrate Rich,427.5,2,27.8,No,Partial,2024-10-09,4.38,3.04,729003,Yes,None
3637534,RF241356185,Holstein,2012-06-05,2014-12-28,FARM-006,Central Java,Fair,Premium Silage,630.4,5,32.66,No,Up-to-date,2023-04-10,5.43,3.19,253614,Yes,Low yield alert
8159521,RF730122695,Brown Swiss,2012-03-09,2014-07-18,FARM-024,East Java,Poor,Standard Mix,516.2,4,16.81,No,Up-to-date,2023-03-08,3.7,3.87,204679,Yes,None
4358435,RF782147868,Holstein,2013-12-07,2016-11-29,FARM-001,Central Java,Good,Premium Silage,492.9,3,26.07,No,Overdue,2023-03-30,4.67,3.45,171909,No,Monitor closely
3047722,RF946899566,Holstein,2020-03-07,2021-02-26,FARM-001,West Java,Good,Premium Silage,528.1,3,36.33,No,Up-to-date,2024-11-28,4.87,4.06,250368,Yes,Low yield alert
8487220,RF438809548,Holstein,2013-06-27,2015-09-20,FARM-027,West Java,Excellent,Concentrate Rich,579.7,4,29.2,Yes,Up-to-date,2024-12-15,4.34,2.93,422405,Yes,High performer
9339189,RF996278276,Jersey,2020-08-29,2024-10-01,FARM-038,Central Java,Good,Standard Mix,396.1,4,18.82,No,Up-to-date,2024-11-29,5.27,3.09,783640,No,Excellent genetics
3572022,RF133767082,Holstein,2021-04-22,2023-04-22,FARM-008,East Java,Good,Standard Mix,617.3,4,27.71,No,Up-to-date,2024-07-31,4.18,3.62,85494,Yes,None
2851133,RF795657256,Brown Swiss,2019-01-22,2021-07-24,FARM-007,West Java,Good,Premium Silage,455.7,1,16.03,No,Overdue,2024-03-25,5.3,3.44,653943,Yes,Low yield alert
5177662,RF828593785,Brown Swiss,2016-06-23,2019-08-16,FARM-026,Central Java,Under Treatment,Concentrate Rich,469.0,2,16.83,No,Partial,2024-06-03,3.48,3.4,332445,No,Recovering
1376582,RF849076127,Holstein,2018-08-26,2019-04-21,FARM-034,West Java,Under Treatment,Concentrate Rich,626.8,1,25.89,Yes,Up-to-date,2023-02-25,5.72,3.23,198332,Yes,Recovering
1900876,RF430204342,Jersey,2016-06-09,2017-11-09,FARM-006,West Java,Fair,Standard Mix,465.1,3,20.94,No,Up-to-date,2024-07-22,5.4,3.32,550531,Yes,None
1999183,RF992652034,Guernsey,2017-04-12,2020-11-08,FARM-030,Yogyakarta,Fair,Premium Silage,383.6,3,26.34,Yes,Overdue,2023-05-17,4.24,3.26,346951,Yes,Low yield alert
6029651,RF729673300,Jersey,2021-10-14,2023-06-20,FARM-002,West Java,Good,Concentrate Rich,503.3,3,15.74,No,Up-to-date,2023-01-02,4.79,3.85,131023,Yes,Monitor closely
9929043,RF293140002,Holstein,2017-08-09,2019-02-24,FARM-028,West Java,Good,Hay-Based,582.5,2,32.11,No,Up-to-date,2024-03-07,3.67,3.36,592479,Yes,Recovering
3277144,RF966419051,Holstein,2021-01-15,2021-12-30,FARM-001,West Java,Excellent,Organic Blend,499.3,4,25.16,No,Up-to-date,2024-10-31,5.7,3.36,107159,Yes,High performer
9142618,RF938596152,Holstein,2020-04-27,2024-05-14,FARM-031,Yogyakarta,Fair,Pasture-Fed,511.4,4,32.95,Yes,Up-to-date,2024-03-10,4.58,3.34,757494,Yes,None
7700828,RF588541107,Jersey,2015-10-12,2020-03-28,FARM-028,West Java,Excellent,Premium Silage,340.7,1,23.1,No,Up-to-date,2024-09-05,4.98,3.15,403854,Yes,None
3866974,RF782881227,Holstein,2018-02-01,2020-01-29,FARM-003,East Java,Good,Premium Silage,555.8,2,32.4,No,Up-to-date,2023-03-28,4.59,2.98,201670,Yes,Recovering
3473761,RF996486264,Montbéliarde,2015-01-30,2017-07-05,FARM-034,East Java,Excellent,Standard Mix,542.1,3,20.35,Yes,Up-to-date,2024-10-15,5.31,2.94,587533,No,None
6291817,RF375799180,Ayrshire,2015-10-15,2019-11-07,FARM-006,North Sumatra,Good,Premium Silage,450.6,2,32.13,Yes,Up-to-date,2023-11-07,4.8,3.55,305592,Yes,None
5013879,RF935702900,Jersey,2016-03-12,2019-11-26,FARM-012,Central Java,Good,Hay-Based,468.4,4,12.35,No,Up-to-date,2023-10-07,3.21,3.09,484451,Yes,High performer
4882808,RF119405653,Jersey,2014-12-29,2018-01-29,FARM-021,West Java,Good,Hay-Based,468.6,6,18.53,No,Up-to-date,2024-03-06,4.85,3.26,457937,Yes,Excellent genetics
5079421,RF897329706,Holstein,2012-02-21,2014-07-22,FARM-032,West Java,Good,Hay-Based,572.9,2,22.77,Yes,Up-to-date,2024-08-08,5.72,3.68,638592,No,None
9863551,RF824240334,Montbéliarde,2014-04-30,2019-01-05,FARM-030,West Java,Good,Premium Silage,480.4,2,18.87,No,Up-to-date,2023-01-24,5.15,3.2,564595,No,Recovering
3375493,RF326887199,Holstein,2018-01-10,2019-04-04,FARM-008,East Java,Excellent,Premium Silage,592.2,5,31.58,No,Overdue,2024-02-15,4.63,3.29,278330,Yes,Excellent genetics
8913286,RF779810192,Ayrshire,2015-02-16,2017-05-30,FARM-021,East Java,Good,Standard Mix,351.5,3,16.09,No,Overdue,2023-10-21,5.35,3.43,236255,Yes,None
9240971,RF511622607,Holstein,2017-12-21,2023-02-12,FARM-038,Yogyakarta,Under Treatment,Standard Mix,665.6,2,33.12,No,Up-to-date,2023-05-22,4.79,3.5,134416,Yes,Low yield alert
8749462,RF197674471,Holstein,2016-08-01,2017-03-15,FARM-024,West Java,Good,Concentrate Rich,521.4,1,22.88,No,Up-to-date,2023-07-17,5.41,3.03,436991,Yes,Monitor closely
6455706,RF133167626,Normande,2013-12-18,2017-02-07,FARM-014,East Java,Good,Hay-Based,474.8,5,18.16,No,Up-to-date,2023-07-01,5.73,3.5,166556,Yes,High performer
4260252,RF903812343,Milking Shorthorn,2021-10-12,2024-11-07,FARM-003,Yogyakarta,Good,Organic Blend,407.5,1,19.67,No,Up-to-date,2024-03-03,5.69,4.04,613443,Yes,Excellent genetics
8454556,RF971515860,Guernsey,2019-04-04,2022-09-28,FARM-026,North Sumatra,Fair,Premium Silage,411.4,2,20.82,No,Partial,2024-10-06,4.89,3.4,180083,Yes,High performer
1769891,RF464894655,Ayrshire,2020-07-01,2024-03-29,FARM-010,South Sulawesi,Fair,Standard Mix,484.1,1,22.52,Yes,Up-to-date,2023-03-17,4.39,3.79,306616,Yes,High performer
1540516,RF738262346,Jersey,2015-04-24,2019-09-01,FARM-003,Bali,Excellent,Standard Mix,356.1,4,17.98,Yes,Up-to-date,2024-01-07,5.06,3.23,215992,Yes,High performer
1507747,RF257331241,Jersey,2017-04-30,2021-10-26,FARM-039,Central Java,Good,Hay-Based,337.6,2,19.7,Yes,Up-to-date,2023-11-07,3.59,2.82,431851,Yes,Low yield alert
4030887,RF267371502,Jersey,2021-10-04,2023-09-13,FARM-038,North Sumatra,Good,Standard Mix,478.4,3,22.2,No,Up-to-date,2023-06-23,5.46,3.47,557509,No,None
8225192,RF935386554,Holstein,2019-07-02,2020-05-09,FARM-008,Yogyakarta,Good,Standard Mix,597.8,2,28.65,No,Partial,2024-06-20,5.54,3.84,431220,Yes,Recovering
1868201,RF895919598,Normande,2019-01-09,2020-01-26,FARM-035,North Sumatra,Under Treatment,Premium Silage,581.8,3,18.28,No,Up-to-date,2023-09-20,5.27,3.06,732420,Yes,Monitor closely
5898671,RF198096189,Jersey,2019-09-25,2024-03-31,FARM-013,Bali,Poor,Pasture-Fed,381.9,1,15.1,Yes,Up-to-date,2023-08-01,3.79,3.62,659506,Yes,None
5243311,RF224990409,Ayrshire,2018-01-08,2023-06-16,FARM-029,West Java,Excellent,Organic Blend,400.4,2,17.8,Yes,Up-to-date,2024-08-05,3.22,3.4,166941,Yes,Recovering
6488523,RF100531633,Holstein,2020-09-19,2024-10-24,FARM-017,Bali,Good,Standard Mix,506.4,4,23.85,Yes,Up-to-date,2024-06-10,3.94,3.7,327033,Yes,Monitor closely
5702093,RF912406191,Guernsey,2015-10-29,2017-11-10,FARM-012,East Java,Good,Pasture-Fed,409.3,3,18.29,No,Up-to-date,2023-03-09,5.18,3.74,149161,No,Recovering
7668174,RF348896361,Guernsey,2015-11-03,2019-11-28,FARM-014,Central Java,Good,Concentrate Rich,457.0,4,20.83,No,Up-to-date,2024-09-16,3.75,3.74,389492,Yes,Recovering
8421839,RF608712246,Brown Swiss,2020-10-23,2022-04-07,FARM-039,Bali,Fair,Standard Mix,555.5,3,26.9,No,Up-to-date,2023-11-07,4.16,3.23,421126,Yes,High performer
8290770,RF533878789,Jersey,2017-01-16,2019-04-06,FARM-004,Aceh,Good,Concentrate Rich,480.6,2,12.65,No,Overdue,2023-01-20,5.33,3.08,744214,Yes,High performer
1737173,RF893513422,Holstein,2021-05-03,2023-12-03,FARM-013,Bali,Good,Standard Mix,601.6,2,23.28,Yes,Up-to-date,2023-06-14,4.05,3.47,671742,Yes,None
4850140,RF751444364,Jersey,2020-10-04,2024-12-12,FARM-038,Central Java,Excellent,Hay-Based,386.2,6,18.98,Yes,Up-to-date,2023-10-19,3.49,2.99,127582,Yes,Low yield alert
1114590,RF194494822,Holstein,2016-08-21,2021-10-02,FARM-029,West Java,Good,Concentrate Rich,588.2,1,26.99,Yes,Up-to-date,2023-10-26,4.99,3.0,121307,Yes,Low yield alert
6160869,RF330653508,Holstein,2019-12-23,2024-08-11,FARM-012,Central Java,Excellent,Standard Mix,513.4,5,32.5,Yes,Partial,2023-09-23,3.86,3.85,74262,Yes,Low yield alert
1180143,RF650036781,Jersey,2016-08-09,2019-06-30,FARM-024,West Java,Good,Premium Silage,451.9,2,25.85,No,Overdue,2024-07-05,4.48,3.6,715189,Yes,None
5767670,RF194199647,Montbéliarde,2018-05-04,2019-05-07,FARM-037,South Sulawesi,Good,Pasture-Fed,408.7,4,11.23,No,Overdue,2024-03-17,5.33,3.45,209598,Yes,None
3932663,RF564282926,Jersey,2014-01-14,2018-02-28,FARM-002,Central Java,Excellent,Hay-Based,333.5,2,21.59,No,Up-to-date,2023-11-27,4.31,3.16,283717,Yes,High performer
4555258,RF867622823,Guernsey,2017-12-20,2021-01-10,FARM-037,West Java,Fair,Standard Mix,306.9,1,24.95,Yes,Up-to-date,2024-09-08,5.66,2.86,183508,Yes,None
5014011,RF555571081,Holstein,2015-09-03,2021-01-16,FARM-018,West Java,Poor,Concentrate Rich,599.3,1,29.09,Yes,Overdue,2024-03-26,3.52,4.13,76658,Yes,Low yield alert
