session_id,cow_id,farm_code,milking_date,milking_timestamp,shift,yield_liters,fat_percentage,protein_percentage,somatic_cell_count,temperature_celsius,machine_id,operator_id,quality_grade,lactose_percentage,conductivity_ms_cm,flow_rate_lpm,milking_duration_min,ph_level,is_flagged
842584920,9809490,FARM-037,2023-06-05,2023-06-05 17:25:47,Morning,18.92,4.83,4.21,622265,38.7,MCH-07,1083,Grade C,4.83,6.16,2.65,13.4,6.69,No
799556992,1599572,FARM-006,2023-12-03,2023-12-03 06:33:46,Evening,10.77,5.43,2.67,377448,38.5,MCH-04,1091,Grade A,4.33,7.02,3.31,5.5,6.65,No
831364748,9308241,FARM-035,2021-12-20,2021-12-20 19:56:31,Evening,5.35,4.35,4.35,838521,38.8,MCH-06,1115,Grade C,5.04,4.44,3.3,14.4,6.62,No
841087869,1270358,FARM-022,2024-03-01,2024-03-01 15:00:56,Morning,11.62,4.56,2.82,712096,38.2,MCH-26,1056,Grade A,5.11,5.78,2.56,13.1,6.47,No
211538452,4285527,FARM-020,2021-06-04,2021-06-04 12:32:57,Morning,10.28,3.7,2.62,78552,38.1,MCH-30,1116,Grade B,5.16,6.63,2.96,4.9,6.82,No
684605552,1466959,FARM-035,2022-10-18,2022-10-18 02:06:35,Afternoon,9.49,4.58,4.46,793610,38.7,MCH-17,1132,Grade C,4.49,5.65,3.11,6.6,6.6,No
398418123,6131289,FARM-040,2023-02-08,2023-02-08 13:15:59,Afternoon,8.35,5.9,3.58,892307,39.0,MCH-10,1047,Grade B,4.05,7.18,2.06,13.8,6.77,No
507870136,5837402,FARM-031,2020-07-22,2020-07-22 10:37:59,Evening,10.06,5.05,4.38,505872,38.3,MCH-10,1016,Grade A,4.26,4.54,1.48,13.7,6.81,No
363821998,1038939,FARM-026,2024-10-20,2024-10-20 07:50:49,Morning,10.12,5.81,2.81,303930,38.5,MCH-25,1058,Grade A,5.15,8.18,2.81,5.3,6.75,No
396058728,3594844,FARM-030,2021-10-01,2021-10-01 15:18:01,Evening,8.55,5.09,3.73,218071,39.5,MCH-16,1120,Grade C,4.61,5.73,0.75,4.7,6.82,No
300230223,2940503,FARM-008,2020-11-03,2020-11-03 19:45:31,Evening,8.31,4.79,4.15,78217,39.0,MCH-29,1058,Grade A,4.79,7.47,2.39,12.0,6.68,No
500959261,9055327,FARM-026,2020-10-05,2020-10-05 01:57:19,Morning,16.17,3.8,3.04,713156,39.1,MCH-21,1103,Grade B,4.2,7.54,1.01,5.1,6.62,No
130993385,7945312,FARM-039,2022-10-29,2022-10-29 21:54:16,Afternoon,7.18,3.87,4.43,769625,39.0,MCH-12,1097,Grade A,4.18,5.57,3.34,7.1,6.74,No
922437245,3286624,FARM-008,2024-07-11,2024-07-11 10:31:50,Evening,10.77,5.32,4.31,621851,39.1,MCH-21,1026,Grade A,4.66,8.21,1.0,14.3,6.9,Yes
595674597,5812832,FARM-013,2023-06-17,2023-06-17 20:31:18,Morning,15.16,5.71,3.86,184820,38.8,MCH-10,1145,Grade B,4.87,4.05,3.17,14.6,6.49,No
492256497,4002915,FARM-038,2023-01-28,2023-01-28 07:58:02,Morning,17.08,5.2,3.67,77540,38.0,MCH-28,1058,Grade B,4.76,4.49,0.6,11.4,6.45,No
433036189,5643875,FARM-002,2021-06-02,2021-06-02 05:19:38,Afternoon,11.03,3.57,4.01,453566,39.0,MCH-07,1013,Grade B,4.83,6.5,0.86,6.1,6.73,No
660327356,5850213,FARM-012,2023-08-02,2023-08-02 08:43:57,Morning,16.05,4.65,4.49,459862,39.0,MCH-08,1066,Grade B,4.93,8.19,3.01,5.1,6.83,No
501688253,3653221,FARM-031,2021-12-10,2021-12-10 01:18:15,Evening,10.62,3.92,3.77,501686,39.3,MCH-11,1087,Grade A,4.1,7.51,1.67,5.7,6.62,No
944971016,8101476,FARM-001,2023-05-13,2023-05-13 12:44:51,Evening,13.6,3.53,4.36,439173,38.0,MCH-11,1139,Grade A,4.23,7.07,1.13,5.8,6.42,Yes
514005459,7600742,FARM-038,2021-05-03,2021-05-03 05:33:47,Morning,18.57,4.12,3.87,510003,39.2,MCH-28,1014,Grade A,4.95,4.48,0.81,11.7,6.76,No
533938789,6914658,FARM-013,2024-08-03,2024-08-03 20:09:27,Afternoon,10.07,5.38,4.11,794227,38.3,MCH-21,1003,Grade B,4.26,4.48,1.71,8.8,6.64,No
962450448,5697130,FARM-032,2022-07-09,2022-07-09 20:57:21,Afternoon,4.66,3.51,3.49,637923,39.4,MCH-17,1060,Grade B,4.03,8.15,0.77,10.2,6.79,No
390328460,8757871,FARM-027,2020-11-30,2020-11-30 12:30:26,Afternoon,7.01,5.03,3.23,337732,39.4,MCH-23,1065,Grade C,4.93,6.27,2.71,8.8,6.56,No
301100370,6532207,FARM-032,2020-09-19,2020-09-19 14:13:29,Afternoon,16.61,4.35,3.99,527316,38.0,MCH-07,1067,Grade C,4.72,5.36,1.27,13.2,6.77,No
115075058,6793334,FARM-038,2022-10-07,2022-10-07 04:25:05,Morning,14.06,5.53,4.21,472024,38.7,MCH-26,1108,Grade A,4.34,4.84,2.4,12.2,6.81,No
305733209,5960310,FARM-008,2023-09-27,2023-09-27 21:00:17,Evening,9.02,5.6,4.43,158811,38.9,MCH-17,1109,Grade A,4.87,4.42,1.25,10.9,6.85,No
975701544,2730103,FARM-017,2021-08-12,2021-08-12 03:08:48,Afternoon,6.07,5.09,2.88,198068,38.7,MCH-16,1119,Grade A,4.24,7.29,2.83,7.9,6.62,No
773257449,1783929,FARM-026,2021-10-10,2021-10-10 03:24:06,Morning,11.89,5.12,3.83,570844,38.3,MCH-26,1108,Grade B,4.59,7.05,0.77,5.2,6.48,No
778173053,9137786,FARM-003,2020-11-13,2020-11-13 07:34:02,Morning,12.36,3.19,4.16,625545,38.1,MCH-16,1096,Grade A,4.47,6.78,1.55,7.5,6.86,Yes
950115997,7047805,FARM-023,2020-03-23,2020-03-23 12:34:33,Evening,14.74,5.73,3.1,738319,39.1,MCH-07,1149,Grade A,5.19,4.28,1.21,4.7,6.43,Yes
101279784,4400767,FARM-025,2021-01-09,2021-01-09 05:45:04,Morning,10.35,5.52,3.1,531930,38.4,MCH-17,1021,Grade C,4.8,7.06,2.92,12.6,6.81,No
702245681,1202304,FARM-035,2021-01-31,2021-01-31 17:10:26,Afternoon,9.55,4.24,2.62,636245,39.5,MCH-17,1070,Grade A,5.07,6.31,1.28,13.9,6.51,No
659080055,5936769,FARM-008,2020-03-28,2020-03-28 06:34:02,Afternoon,6.07,4.62,3.52,466934,38.7,MCH-12,1078,Grade A,4.83,6.07,1.34,10.5,6.57,No
427504131,7681155,FARM-029,2020-09-25,2020-09-25 07:33:05,Evening,9.19,5.92,3.77,431594,39.3,MCH-29,1106,Grade B,4.57,7.89,0.95,6.1,6.85,No
854746431,3585155,FARM-007,2024-05-01,2024-05-01 22:30:47,Afternoon,10.65,5.87,4.13,680332,39.3,MCH-28,1003,Grade A,4.67,4.73,0.95,7.8,6.75,No
234524683,2670215,FARM-005,2022-12-22,2022-12-22 13:00:47,Morning,14.34,3.91,3.18,176169,39.1,MCH-19,1037,Grade A,4.35,4.9,2.98,9.0,6.56,No
234403917,8599693,FARM-026,2022-10-03,2022-10-03 17:12:09,Morning,14.96,5.36,3.8,659119,39.4,MCH-13,1135,Grade B,4.14,7.9,1.6,8.3,6.51,No
257556452,5072014,FARM-019,2024-07-17,2024-07-17 15:25:08,Evening,6.71,4.72,2.78,820006,39.2,MCH-03,1101,Grade A,4.27,6.43,2.53,4.7,6.51,No
618223771,7509134,FARM-032,2021-09-27,2021-09-27 20:01:09,Evening,13.85,5.77,3.71,812888,38.4,MCH-28,1069,Grade A,4.01,6.96,0.74,4.3,6.7,No
788999649,9005224,FARM-022,2021-04-09,2021-04-09 16:43:15,Evening,15.13,3.77,3.67,209818,39.3,MCH-12,1031,Grade B,4.42,4.81,1.59,8.7,6.44,No
118883935,9457298,FARM-022,2023-05-01,2023-05-01 21:04:11,Morning,12.37,5.72,3.63,592229,38.9,MCH-15,1034,Grade A,4.71,6.72,2.36,9.8,6.67,No
249777423,3255443,FARM-027,2023-06-19,2023-06-19 10:09:22,Afternoon,12.67,4.18,2.72,101870,38.4,MCH-20,1062,Grade A,4.82,5.39,2.79,3.8,6.47,No
178360490,3084948,FARM-018,2021-01-19,2021-01-19 01:07:54,Morning,12.11,3.36,3.0,700546,38.3,MCH-07,1107,Grade A,4.44,7.02,3.23,11.8,6.6,No
430465683,7706773,FARM-016,2024-11-03,2024-11-03 14:57:10,Morning,17.87,3.38,3.77,331058,38.2,MCH-29,1039,Grade B,5.04,4.47,2.73,9.1,6.76,No
282667268,5353110,FARM-031,2024-12-25,2024-12-25 22:23:58,Morning,14.12,5.6,3.34,469097,39.1,MCH-16,1064,Grade A,4.69,6.15,3.29,9.0,6.77,No
554982755,5752983,FARM-025,2022-12-11,2022-12-11 09:52:17,Morning,14.47,4.34,3.09,250681,38.3,MCH-22,1117,Rejected,4.22,8.38,2.14,7.7,6.68,No
206119512,2965655,FARM-026,2021-05-30,2021-05-30 19:00:32,Evening,10.78,5.8,3.38,838310,38.7,MCH-13,1063,Grade B,4.97,7.41,3.18,4.5,6.5,No
435017266,5106329,FARM-001,2021-04-14,2021-04-14 22:31:02,Evening,14.47,5.45,2.63,750328,39.3,MCH-27,1117,Grade A,4.48,5.98,3.0,6.1,6.65,No
736758476,5569178,FARM-018,2020-03-26,2020-03-26 02:36:32,Morning,16.98,4.66,3.58,249640,38.9,MCH-17,1043,Grade C,5.02,7.67,2.17,11.5,6.67,No
321707716,1126555,FARM-020,2023-04-08,2023-04-08 03:38:16,Morning,9.55,4.96,3.61,453109,39.3,MCH-20,1034,Grade B,5.16,7.73,3.09,6.1,6.77,No
446466526,7464099,FARM-011,2023-05-24,2023-05-24 23:08:47,Afternoon,4.84,4.93,4.47,869761,38.3,MCH-20,1063,Grade B,4.27,8.44,1.27,9.7,6.54,No
751184401,9847976,FARM-009,2022-09-09,2022-09-09 23:26:18,Morning,13.31,5.66,2.89,371019,38.3,MCH-16,1055,Grade A,4.12,7.23,1.31,5.9,6.88,No
922671116,4181161,FARM-040,2020-10-08,2020-10-08 04:46:44,Evening,5.53,5.86,2.65,76807,38.1,MCH-08,1136,Grade B,4.85,5.45,1.89,3.7,6.82,No
563186010,3394730,FARM-032,2022-06-28,2022-06-28 09:15:48,Morning,17.62,5.55,3.79,153989,39.0,MCH-05,1092,Grade A,4.3,5.95,2.57,4.2,6.83,No
570213686,4110506,FARM-016,2022-03-29,2022-03-29 05:38:18,Evening,10.32,3.32,3.12,317518,39.1,MCH-20,1139,Grade A,4.62,7.76,1.25,7.4,6.62,No
645586127,6865068,FARM-018,2021-08-05,2021-08-05 13:37:46,Evening,13.05,3.64,2.97,692245,39.4,MCH-26,1044,Grade A,4.15,5.28,2.19,6.8,6.87,No
140990282,1699499,FARM-024,2023-09-07,2023-09-07 16:35:17,Morning,11.15,3.52,4.03,745641,39.4,MCH-22,1147,Grade A,4.16,4.09,0.7,4.5,6.71,No
404983576,9119917,FARM-027,2022-07-23,2022-07-23 03:56:03,Morning,8.87,3.47,3.84,362455,38.5,MCH-28,1140,Grade A,4.69,5.11,2.41,9.7,6.44,No
986557029,5165743,FARM-030,2021-12-21,2021-12-21 03:25:21,Evening,12.35,4.74,2.58,438323,39.4,MCH-04,1143,Rejected,5.18,6.53,2.32,9.0,6.88,No
346865252,2443439,FARM-040,2023-07-27,2023-07-27 20:42:43,Morning,17.19,3.49,3.07,578638,39.1,MCH-23,1072,Grade B,4.2,5.58,3.39,14.1,6.76,No
830523072,1137840,FARM-019,2024-12-04,2024-12-04 14:37:15,Afternoon,12.39,3.52,2.61,419838,39.4,MCH-12,1132,Grade C,5.06,4.23,1.65,5.2,6.64,No
397220540,3881139,FARM-039,2020-08-13,2020-08-13 12:44:19,Morning,10.94,4.03,3.32,728183,38.9,MCH-14,1033,Grade A,4.66,4.3,1.52,11.7,6.53,No
401893799,5545652,FARM-006,2020-01-24,2020-01-24 04:19:51,Morning,8.96,5.27,4.2,459268,39.1,MCH-06,1041,Grade A,5.04,8.09,1.4,15.0,6.76,No
911010430,9804980,FARM-033,2020-07-11,2020-07-11 21:20:20,Evening,9.22,3.53,3.35,89977,38.9,MCH-16,1140,Grade A,4.33,6.01,2.29,3.3,6.52,No
350439299,6594228,FARM-035,2022-11-27,2022-11-27 09:24:54,Afternoon,4.2,5.25,2.55,842659,38.4,MCH-03,1084,Grade B,4.49,7.11,1.31,13.8,6.41,No
839636736,8837818,FARM-019,2023-09-16,2023-09-16 05:01:08,Morning,7.3,4.92,3.71,434183,38.1,MCH-18,1071,Grade A,5.13,5.41,1.1,3.1,6.89,No
149574384,2566844,FARM-004,2024-05-05,2024-05-05 00:47:38,Afternoon,9.6,5.94,3.89,608458,38.7,MCH-19,1001,Grade A,4.06,8.0,2.83,8.8,6.84,No
607582712,9904828,FARM-026,2021-12-02,2021-12-02 15:31:55,Evening,11.55,5.8,4.41,693255,38.4,MCH-07,1104,Grade A,4.67,6.61,2.4,13.2,6.54,No
692812944,7510208,FARM-008,2020-09-08,2020-09-08 22:47:04,Evening,10.55,4.43,2.52,396638,39.3,MCH-11,1039,Grade B,4.73,4.41,2.39,4.8,6.43,No
852308547,3674305,FARM-007,2021-12-20,2021-12-20 23:49:53,Evening,10.69,3.67,2.67,878705,38.2,MCH-13,1023,Grade B,4.08,6.81,1.39,11.3,6.86,No
101027116,1600706,FARM-036,2020-09-27,2020-09-27 11:06:37,Morning,12.17,3.09,4.19,183584,38.7,MCH-29,1105,Grade A,4.34,8.25,0.99,14.3,6.74,No
228906212,6172869,FARM-022,2021-10-09,2021-10-09 06:56:49,Afternoon,16.11,4.2,2.66,429586,39.2,MCH-23,1108,Grade A,4.58,5.63,2.7,4.0,6.9,No
214816210,3041478,FARM-039,2020-02-09,2020-02-09 20:58:49,Afternoon,3.48,3.78,2.99,256591,38.4,MCH-28,1136,Grade A,4.63,7.59,1.14,5.2,6.48,No
260401621,8598725,FARM-015,2023-08-05,2023-08-05 10:57:57,Morning,16.79,3.02,4.07,472574,39.1,MCH-16,1025,Grade B,5.18,8.12,1.29,11.2,6.43,No
654826176,3911878,FARM-011,2023-08-28,2023-08-28 07:57:45,Morning,10.74,3.4,3.04,517618,38.0,MCH-02,1043,Grade B,4.68,6.68,0.61,6.7,6.53,No
460826119,9713861,FARM-029,2021-06-06,2021-06-06 13:44:38,Afternoon,17.92,5.19,4.03,408090,38.8,MCH-23,1043,Grade C,4.24,4.64,1.43,6.5,6.47,No
771627375,6754506,FARM-023,2021-05-24,2021-05-24 04:31:18,Morning,12.53,4.23,3.02,240187,39.4,MCH-02,1043,Rejected,5.06,8.18,2.38,8.9,6.54,No
247046804,4082379,FARM-035,2022-06-07,2022-06-07 13:43:56,Morning,16.61,4.84,2.57,571059,39.2,MCH-15,1064,Rejected,5.11,5.68,2.61,6.1,6.48,No
647569551,1130694,FARM-024,2020-10-07,2020-10-07 14:18:00,Afternoon,11.64,3.42,3.45,404273,38.4,MCH-07,1109,Rejected,5.17,8.1,3.24,8.0,6.67,No
920886349,5826768,FARM-026,2024-05-16,2024-05-16 23:52:52,Afternoon,13.11,5.33,4.26,648681,38.1,MCH-12,1070,Grade A,4.51,6.1,1.29,13.1,6.67,No
645362217,7451345,FARM-014,2021-09-27,2021-09-27 10:23:23,Morning,14.03,3.53,3.24,85452,39.4,MCH-10,1042,Grade A,4.47,6.0,1.71,9.3,6.68,No
667848404,6377170,FARM-024,2023-06-14,2023-06-14 04:09:03,Morning,15.3,4.93,3.86,863932,38.1,MCH-20,1109,Grade A,4.48,7.04,2.19,8.1,6.87,No
951892928,4608212,FARM-007,2024-01-31,2024-01-31 10:18:38,Evening,9.27,3.54,2.63,698812,38.4,MCH-12,1021,Grade A,4.79,5.25,0.91,11.1,6.61,No
439679399,8659156,FARM-031,2020-11-13,2020-11-13 12:45:09,Morning,15.73,4.95,4.39,639085,38.8,MCH-16,1080,Grade B,4.55,7.29,3.03,9.6,6.53,No
455240572,5914837,FARM-030,2023-05-26,2023-05-26 04:28:14,Morning,15.29,3.27,3.39,873825,39.5,MCH-30,1119,Grade A,4.31,4.51,1.09,10.4,6.82,No
439199351,2205399,FARM-006,2023-05-11,2023-05-11 04:57:53,Afternoon,5.85,3.8,2.63,807839,39.0,MCH-22,1070,Grade C,4.03,7.72,0.97,11.1,6.58,No
806779908,8722137,FARM-036,2022-09-06,2022-09-06 13:07:18,Evening,10.07,5.16,3.59,836064,38.6,MCH-29,1130,Grade A,4.27,8.05,2.24,8.1,6.87,No
933319567,4757723,FARM-020,2021-06-19,2021-06-19 02:55:19,Afternoon,11.24,4.11,3.07,401486,38.2,MCH-28,1114,Grade B,4.18,4.35,2.36,14.2,6.43,No
978332419,9137372,FARM-033,2020-05-11,2020-05-11 08:26:28,Morning,13.44,5.66,2.52,696690,39.3,MCH-28,1060,Grade A,4.78,8.49,1.18,12.3,6.45,Yes
770408378,9254622,FARM-001,2022-04-25,2022-04-25 11:50:12,Evening,8.5,5.2,2.94,826116,39.2,MCH-08,1062,Grade C,4.1,5.47,2.76,11.3,6.7,No
864367055,7226591,FARM-016,2023-10-31,2023-10-31 01:31:05,Morning,11.51,3.02,3.16,411844,38.8,MCH-28,1059,Grade B,4.96,8.0,3.43,4.1,6.5,No
701735087,4266723,FARM-006,2024-07-26,2024-07-26 05:25:45,Afternoon,7.11,4.61,3.81,437472,38.4,MCH-22,1010,Grade B,4.82,8.34,1.02,12.9,6.51,No
353849048,3448549,FARM-034,2023-10-19,2023-10-19 12:18:23,Morning,17.79,3.96,4.09,496986,38.6,MCH-08,1047,Grade B,4.83,4.17,2.98,9.2,6.69,No
425975590,6214886,FARM-014,2024-09-19,2024-09-19 02:50:31,Afternoon,6.53,4.85,3.53,124629,38.2,MCH-16,1087,Grade A,4.55,5.8,1.87,12.7,6.77,No
