customer_id,customer_code,company_name,segment,tier,city,province,registration_date,credit_limit_idr,payment_terms_days,is_active,sales_rep_id,annual_revenue_idr,preferred_delivery,cold_chain_required,tax_id,contact_phone,email_domain,last_order_date,notes
72613937,CUST778487,CV Maju Mandiri,Export,Gold,Bandung,Jawa Tengah,2013-01-22,9430000.0,60,Yes,5063,670600000.0,Fortnightly,Yes,84547239731756,089742629092,outlook.com,2022-08-26,Key account
69828656,CUST643454,PT Sejahtera Sentosa,E-Commerce,Gold,Jakarta,Sulawesi Selatan,2021-04-09,44960000.0,60,Yes,5069,491400000.0,Weekly,No,95663151314365,082456212576,business.id,2024-08-28,VIP
93519926,CUST912009,UD Segar Cemerlang,Traditional Trade,Gold,Denpasar,Jawa Barat,2017-08-07,35930000.0,45,No,5058,4364200000.0,Weekly,No,84395279154174,087274437227,yahoo.com,2024-01-14,Key account
65798204,CUST824023,CV Sejahtera Indonesia,E-Commerce,New,Yogyakarta,Jawa Tengah,2018-01-29,20720000.0,7,Yes,5041,779700000.0,Next Day,No,73797522051105,083295270403,business.id,2024-04-07,Growth potential
75530308,CUST864595,CV Jaya Indonesia,Industrial,Gold,Manado,Sumatera Selatan,2011-08-19,12030000.0,45,Yes,5025,570600000.0,2-3 Days,Yes,43207397800076,083460732805,yahoo.com,2023-12-08,Price sensitive
31326280,CUST993634,UD Lestari Mandiri,E-Commerce,Gold,Palembang,DIY,2022-02-08,30950000.0,0,Yes,5032,439600000.0,Monthly,No,90008283398142,084272386993,company.co.id,2022-09-14,Dormant
25133129,CUST165269,Toko Berkah Cemerlang,Direct Consumer,Silver,Surabaya,Jawa Tengah,2014-10-24,19940000.0,21,No,5041,437100000.0,Fortnightly,Yes,30075297281301,081215433369,business.id,2024-07-28,Key account
17072206,CUST152880,CV Lestari Murni,Distributor,Bronze,Surabaya,Sumatera Selatan,2015-01-31,39590000.0,7,No,5047,188100000.0,2-3 Days,No,49102983351119,082114912565,company.co.id,2024-08-24,Growth potential
16154709,CUST491265,PT Maju Pratama,Industrial,New,Medan,DIY,2011-05-23,14880000.0,90,Yes,5076,41500000.0,2-3 Days,No,55094863659514,082775939868,company.co.id,2024-04-26,Loyal customer
34209881,CUST447401,Toko Berkah Utama,Export,Bronze,Jakarta,Sulawesi Selatan,2019-02-21,13090000.0,90,Yes,5026,254400000.0,2-3 Days,No,78279189337528,086377734158,outlook.com,2024-01-27,Loyal customer
73400412,CUST775320,PT Lestari Utama,Direct Consumer,Gold,Bandung,Sulawesi Selatan,2022-08-04,340040000.0,90,Yes,5004,100900000.0,Monthly,Yes,27217456978423,088521513840,outlook.com,2024-05-06,VIP
14286940,CUST326213,UD Maju Persada,Traditional Trade,New,Semarang,Sulawesi Selatan,2015-12-06,17030000.0,30,Yes,5013,1484800000.0,2-3 Days,Yes,96742654975949,082802975598,business.id,2024-01-10,Price sensitive
74481761,CUST354218,UD Sejahtera Sejati,Direct Consumer,Gold,Medan,Jawa Barat,2015-03-08,52790000.0,60,Yes,5016,2358600000.0,Next Day,Yes,17914872738556,081113794234,company.co.id,2023-05-12,Loyal customer
45449313,CUST648803,Toko Unggul Indonesia,E-Commerce,New,Jakarta,Jawa Tengah,2013-03-09,128760000.0,14,Yes,5017,1196800000.0,2-3 Days,Yes,50663787287293,081485219125,company.co.id,2022-06-10,VIP
35553381,CUST810785,CV Sejahtera Indonesia,HoReCa,Silver,Jakarta,Jawa Barat,2015-01-04,8340000.0,60,No,5041,641100000.0,2-3 Days,No,35403539792753,084806254947,yahoo.com,2022-01-13,Price sensitive
68747372,CUST140301,CV Sejahtera Cemerlang,Export,Bronze,Palembang,Sumatera Utara,2016-06-06,13040000.0,21,Yes,5053,320400000.0,2-3 Days,No,21304967989027,08601036128,yahoo.com,2022-03-15,Growth potential
96960621,CUST687101,Toko Segar Sentosa,Industrial,Platinum,Medan,DKI Jakarta,2010-11-14,2570000.0,0,Yes,5016,2151200000.0,2-3 Days,No,37778746519755,08739604322,outlook.com,2022-05-10,Seasonal buyer
63275120,CUST297452,UD Prima Cemerlang,Export,Bronze,Bandung,Jawa Timur,2019-10-03,117260000.0,21,Yes,5060,1472100000.0,Fortnightly,No,56635845966742,087409139143,yahoo.com,2024-03-14,Price sensitive
45842545,CUST901290,Toko Jaya Indonesia,Modern Trade,New,Jakarta,DKI Jakarta,2019-06-05,66450000.0,21,Yes,5066,72100000.0,Weekly,Yes,29524699262998,08543909730,company.co.id,2022-05-20,VIP
86245488,CUST666859,PT Berkah Murni,Export,Bronze,Surabaya,Jawa Tengah,2010-06-29,26930000.0,30,No,5023,492100000.0,Monthly,Yes,60267953458652,081806281865,yahoo.com,2023-07-01,Slow payer
56623225,CUST597909,Toko Maju Pratama,Traditional Trade,Silver,Bandung,Jawa Timur,2015-05-07,635650000.0,90,Yes,5045,405400000.0,Next Day,No,39369334995985,086981896298,company.co.id,2023-01-17,Growth potential
34308226,CUST585471,CV Sejahtera Pratama,Distributor,Silver,Surabaya,Jawa Timur,2017-05-13,23200000.0,0,Yes,5072,2863300000.0,2-3 Days,Yes,33797461418833,085276707241,gmail.com,2023-01-12,Slow payer
65601668,CUST862919,Toko Jaya Cemerlang,Traditional Trade,Platinum,Yogyakarta,DKI Jakarta,2017-10-03,11760000.0,45,Yes,5033,665900000.0,Next Day,Yes,98493915580417,083432896934,business.id,2022-10-12,Seasonal buyer
29294728,CUST888710,PT Prima Pratama,Modern Trade,Gold,Jakarta,Jawa Tengah,2016-02-07,202900000.0,21,Yes,5062,2253800000.0,Next Day,Yes,77399162777189,086822486162,business.id,2022-03-27,Loyal customer
71630985,CUST872290,UD Sejahtera Indonesia,HoReCa,Silver,Jakarta,DIY,2021-02-07,45720000.0,7,Yes,5024,201800000.0,2-3 Days,No,74576672683795,083095033033,yahoo.com,2024-06-23,VIP
11206809,CUST647695,Toko Jaya Cemerlang,HoReCa,New,Semarang,Jawa Timur,2018-11-02,17870000.0,14,Yes,5041,17720700000.0,Next Day,Yes,28410541451874,082168442594,gmail.com,2022-09-04,Price sensitive
98566305,CUST603330,UD Makmur Indonesia,Modern Trade,Bronze,Surabaya,Kalimantan Timur,2016-05-07,8750000.0,7,Yes,5047,324300000.0,Weekly,Yes,42598258681627,084723926104,yahoo.com,2024-11-06,Price sensitive
54591654,CUST954784,Toko Jaya Indonesia,Traditional Trade,Bronze,Batam,DKI Jakarta,2014-05-19,10060000.0,7,Yes,5064,754200000.0,Monthly,Yes,83842776008475,088841489935,gmail.com,2023-11-07,Key account
66977960,CUST720000,CV Unggul Utama,Direct Consumer,Gold,Surabaya,Bali,2019-12-14,4420000.0,14,Yes,5080,96000000.0,Weekly,Yes,24574849512772,085741679237,yahoo.com,2024-03-03,Seasonal buyer
34668713,CUST391372,PT Makmur Mandiri,Direct Consumer,Bronze,Yogyakarta,Sumatera Utara,2018-09-01,10140000.0,60,No,5058,141700000.0,Weekly,Yes,71677733621512,081322729836,company.co.id,2022-10-13,Slow payer
91521196,CUST525042,PT Berkah Cemerlang,Industrial,Silver,Jakarta,Sulawesi Selatan,2014-04-29,30040000.0,30,Yes,5048,261800000.0,Next Day,Yes,36816272894453,085308298628,outlook.com,2024-10-30,Loyal customer
12615860,CUST327705,CV Segar Utama,Industrial,Platinum,Manado,Kalimantan Timur,2020-04-04,5060000.0,30,No,5065,280300000.0,Fortnightly,No,91281199801141,085547680001,yahoo.com,2023-10-29,Price sensitive
61014199,CUST564904,UD Abadi Sentosa,Distributor,Bronze,Jakarta,Jawa Tengah,2013-01-21,73960000.0,90,Yes,5049,2280600000.0,Weekly,No,76457587786921,083387859247,business.id,2022-05-04,Dormant
59146426,CUST381246,CV Jaya Pratama,Traditional Trade,New,Medan,Jawa Timur,2023-10-10,1023340000.0,45,Yes,5029,166100000.0,2-3 Days,Yes,20725744490546,086750995388,outlook.com,2022-11-27,Slow payer
50561213,CUST646427,PT Lestari Persada,HoReCa,New,Semarang,Sulawesi Selatan,2018-12-16,2020000.0,60,No,5014,1159000000.0,2-3 Days,Yes,50296245587873,089195802249,outlook.com,2024-02-17,Slow payer
34078913,CUST788961,PT Abadi Utama,Export,Silver,Jakarta,DIY,2010-08-10,3240000.0,60,Yes,5039,623100000.0,2-3 Days,Yes,36153338307814,082034372273,company.co.id,2023-10-18,VIP
64225476,CUST402421,CV Berkah Mandiri,Distributor,New,Medan,Kalimantan Timur,2023-10-06,25890000.0,60,No,5048,2901300000.0,Fortnightly,No,14567015295427,086538016509,outlook.com,2023-04-20,Seasonal buyer
45187270,CUST526055,UD Maju Pratama,Distributor,Platinum,Yogyakarta,DIY,2014-11-13,16930000.0,14,Yes,5054,526000000.0,Monthly,Yes,79415286723014,089375323343,yahoo.com,2024-08-21,Seasonal buyer
55115976,CUST973253,UD Jaya Utama,Industrial,Gold,Semarang,Sulawesi Selatan,2012-05-08,22880000.0,30,Yes,5005,647000000.0,Next Day,Yes,99176632507281,089699133491,yahoo.com,2022-02-23,Key account
83198154,CUST358803,CV Prima Indonesia,HoReCa,New,Palembang,Jawa Tengah,2014-03-19,24530000.0,7,Yes,5015,172500000.0,Fortnightly,Yes,58514788741085,08346144286,yahoo.com,2023-05-19,Loyal customer
86933708,CUST654263,UD Makmur Murni,HoReCa,Bronze,Semarang,Bali,2023-12-26,73490000.0,7,Yes,5021,161500000.0,Fortnightly,No,61989881186368,089199214619,outlook.com,2023-07-22,Growth potential
22118605,CUST110227,Toko Jaya Sejati,Industrial,Gold,Balikpapan,Bali,2019-09-07,11540000.0,45,No,5047,2366600000.0,2-3 Days,Yes,96129382654949,08187408762,company.co.id,2022-02-09,Dormant
32178391,CUST766289,UD Berkah Pratama,Distributor,Bronze,Surabaya,Jawa Tengah,2022-03-27,9190000.0,45,Yes,5056,19412900000.0,Monthly,Yes,94605169730450,087483500620,gmail.com,2023-05-11,Growth potential
97157336,CUST883438,PT Prima Persada,Modern Trade,Silver,Medan,Bali,2012-06-02,16030000.0,14,Yes,5074,1658600000.0,2-3 Days,Yes,14216304266154,08479379995,yahoo.com,2024-03-31,Dormant
16515289,CUST457486,CV Unggul Sentosa,E-Commerce,Gold,Semarang,Jawa Tengah,2011-09-09,357420000.0,60,Yes,5019,2129200000.0,2-3 Days,Yes,20319984559157,087310930078,outlook.com,2022-05-17,Dormant
85000408,CUST381512,Toko Maju Mandiri,E-Commerce,New,Surabaya,Jawa Barat,2016-12-14,16730000.0,45,Yes,5079,153600000.0,2-3 Days,Yes,69376238075535,089076251984,gmail.com,2023-04-27,Growth potential
20381920,CUST826037,PT Sejahtera Persada,Industrial,Silver,Bandung,Bali,2016-01-29,48260000.0,21,Yes,5013,507700000.0,Fortnightly,No,31071990228269,084774735235,business.id,2024-09-24,Dormant
90341601,CUST567637,PT Sejahtera Nusantara,E-Commerce,Bronze,Surabaya,DIY,2020-10-07,20940000.0,60,No,5016,207400000.0,Weekly,Yes,53834865499921,082557740780,company.co.id,2023-12-07,Growth potential
53084385,CUST897897,Toko Jaya Pratama,Distributor,Silver,Semarang,Jawa Timur,2016-12-12,5790000.0,0,Yes,5069,775800000.0,2-3 Days,Yes,10271650573334,081304299893,company.co.id,2022-12-05,Growth potential
92602596,CUST959569,CV Abadi Murni,HoReCa,Bronze,Balikpapan,Kalimantan Timur,2021-11-18,35810000.0,0,Yes,5034,98900000.0,2-3 Days,No,12887427904478,085627359466,gmail.com,2023-11-05,Loyal customer
80871653,CUST356996,PT Segar Mandiri,Distributor,Silver,Bandung,Jawa Tengah,2013-03-02,35030000.0,45,Yes,5049,1053500000.0,Weekly,No,44187961408171,088542887346,business.id,2024-01-14,Loyal customer
51937515,CUST911797,Toko Berkah Indonesia,E-Commerce,Silver,Jakarta,Sumatera Selatan,2011-01-22,64850000.0,60,Yes,5006,685000000.0,Monthly,Yes,99889563955417,088400760748,company.co.id,2024-09-06,Growth potential
50888943,CUST724734,Toko Makmur Sentosa,Modern Trade,Gold,Bandung,Jawa Timur,2023-08-07,23730000.0,45,Yes,5071,1855200000.0,Fortnightly,No,67666463741977,081046262394,gmail.com,2022-01-20,VIP
17727728,CUST744686,PT Lestari Murni,Traditional Trade,Bronze,Semarang,DKI Jakarta,2010-12-28,29490000.0,21,Yes,5062,794000000.0,2-3 Days,Yes,97189828371343,082557267428,yahoo.com,2024-11-07,Seasonal buyer
81887483,CUST287608,Toko Jaya Sentosa,Distributor,Silver,Balikpapan,Jawa Timur,2011-12-10,1390000.0,14,Yes,5069,353400000.0,Fortnightly,No,60607320620108,088773794078,company.co.id,2022-09-05,Key account
59801854,CUST600437,Toko Jaya Indonesia,Direct Consumer,Silver,Denpasar,Sumatera Selatan,2022-09-21,6140000.0,7,Yes,5032,1682700000.0,Fortnightly,No,76335962834532,086130399613,outlook.com,2022-03-27,Dormant
61145345,CUST775245,PT Maju Indonesia,Industrial,Gold,Jakarta,Jawa Barat,2012-09-12,14980000.0,7,Yes,5052,198500000.0,Next Day,Yes,54754996601984,082645130383,yahoo.com,2023-08-22,Dormant
87130371,CUST603369,Toko Sejahtera Sentosa,Traditional Trade,Gold,Semarang,Sumatera Utara,2014-06-07,9400000.0,90,Yes,5055,44600000.0,Next Day,Yes,97967785849433,082931647480,gmail.com,2023-10-15,Growth potential
77857030,CUST986836,PT Maju Cemerlang,HoReCa,New,Surabaya,Sumatera Selatan,2012-02-19,26560000.0,21,Yes,5020,55200000.0,2-3 Days,Yes,62437037471246,089082707672,outlook.com,2023-05-29,Growth potential
71139591,CUST195140,CV Segar Murni,Distributor,Silver,Medan,Kalimantan Timur,2021-09-05,11040000.0,14,Yes,5024,1024800000.0,Next Day,No,18731098676962,086003008142,outlook.com,2024-04-29,Seasonal buyer
31129863,CUST329303,Toko Unggul Utama,Traditional Trade,New,Jakarta,Sumatera Selatan,2020-12-29,73010000.0,21,No,5056,5608900000.0,2-3 Days,No,37414393137433,082549431985,business.id,2023-03-03,Price sensitive
17629451,CUST381687,CV Lestari Mandiri,Industrial,Platinum,Surabaya,Sumatera Utara,2022-04-02,289300000.0,7,Yes,5054,587200000.0,Fortnightly,Yes,90755674101987,087731682666,outlook.com,2023-04-11,Dormant
56787212,CUST380235,PT Jaya Nusantara,Traditional Trade,Silver,Balikpapan,DKI Jakarta,2014-09-17,11240000.0,7,Yes,5002,240500000.0,Weekly,No,79195096798332,085467540600,yahoo.com,2023-03-01,Growth potential
16613644,CUST765236,Toko Berkah Persada,Traditional Trade,Gold,Surabaya,DKI Jakarta,2019-11-07,12360000.0,7,Yes,5036,434000000.0,2-3 Days,No,83717626675533,083735713652,company.co.id,2023-11-27,Slow payer
12845328,CUST865953,UD Prima Indonesia,Modern Trade,Silver,Medan,Sumatera Utara,2013-02-07,17590000.0,7,Yes,5018,249000000.0,Next Day,Yes,41083504671173,089606039113,outlook.com,2022-06-21,Slow payer
26345748,CUST660934,UD Sejahtera Pratama,Modern Trade,Platinum,Jakarta,Kalimantan Timur,2022-08-31,51430000.0,7,Yes,5061,3144700000.0,Next Day,Yes,67342776759333,084630544428,yahoo.com,2024-06-15,Price sensitive
15696155,CUST564459,PT Abadi Nusantara,Export,Silver,Bandung,Kalimantan Timur,2010-10-31,60150000.0,7,Yes,5022,314200000.0,Weekly,No,15746407195836,085812432242,outlook.com,2022-10-09,Dormant
63504669,CUST890874,CV Segar Cemerlang,E-Commerce,New,Bandung,Sulawesi Selatan,2016-02-27,8950000.0,14,Yes,5033,1186100000.0,Next Day,Yes,41766059430652,088895886356,yahoo.com,2022-03-21,Slow payer
14418210,CUST601470,PT Berkah Sentosa,E-Commerce,Gold,Bandung,Jawa Timur,2023-12-28,7640000.0,45,Yes,5068,1618800000.0,2-3 Days,No,71520909962042,085876775263,outlook.com,2024-09-20,Growth potential
98664742,CUST169814,PT Makmur Cemerlang,Modern Trade,Bronze,Surabaya,DKI Jakarta,2015-04-22,8400000.0,7,Yes,5066,122100000.0,Fortnightly,Yes,16722707183924,089450090772,company.co.id,2022-10-10,Price sensitive
41582893,CUST565136,Toko Lestari Pratama,Modern Trade,New,Surabaya,Jawa Barat,2016-10-03,95660000.0,14,Yes,5051,183300000.0,Weekly,Yes,18172025124021,088608600157,outlook.com,2022-03-20,VIP
64946482,CUST301024,CV Lestari Cemerlang,Export,Silver,Bandung,Bali,2023-08-10,74900000.0,14,Yes,5029,46100000.0,Next Day,Yes,25669331705561,086557287743,gmail.com,2024-11-08,Growth potential
84705587,CUST131290,Toko Prima Murni,Export,Bronze,Jakarta,DKI Jakarta,2020-05-04,31710000.0,21,Yes,5040,59800000.0,2-3 Days,Yes,32894858354801,088676585825,company.co.id,2023-04-19,Loyal customer
48300339,CUST560956,CV Lestari Indonesia,HoReCa,Silver,Makassar,Jawa Barat,2020-07-10,8680000.0,7,Yes,5069,35300000.0,Weekly,No,47795125867614,088456945816,gmail.com,2024-02-26,Slow payer
17269046,CUST151618,CV Segar Sejati,HoReCa,Gold,Surabaya,Bali,2011-08-15,20640000.0,90,Yes,5038,119800000.0,Monthly,Yes,50686990634542,08126442428,company.co.id,2023-01-10,Seasonal buyer
74416441,CUST631816,PT Maju Murni,Modern Trade,Gold,Jakarta,Bali,2022-02-16,16150000.0,21,No,5056,705900000.0,2-3 Days,Yes,85412708930632,087464752984,company.co.id,2024-01-05,Growth potential
41189690,CUST311452,PT Sejahtera Persada,Export,Bronze,Jakarta,Bali,2012-12-16,148990000.0,30,Yes,5047,506900000.0,Next Day,No,71291610837288,08491057743,outlook.com,2023-09-24,Price sensitive
81723705,CUST330533,Toko Unggul Cemerlang,HoReCa,Gold,Jakarta,DKI Jakarta,2014-09-27,12330000.0,60,Yes,5043,61600000.0,Weekly,Yes,67047477491553,083281961172,yahoo.com,2024-10-31,Seasonal buyer
90014013,CUST935248,PT Sejahtera Indonesia,Traditional Trade,New,Manado,Sumatera Utara,2023-11-18,36530000.0,45,Yes,5016,2994600000.0,Next Day,No,79856463065100,081685758102,yahoo.com,2023-01-31,Dormant
90276162,CUST672250,CV Prima Utama,Distributor,Silver,Jakarta,Sumatera Utara,2012-09-25,17210000.0,90,Yes,5023,1449300000.0,2-3 Days,Yes,27494928976805,082938497132,company.co.id,2023-03-02,Growth potential
88047939,CUST384016,PT Abadi Indonesia,Direct Consumer,Gold,Jakarta,Sumatera Utara,2021-12-04,36830000.0,0,Yes,5062,159500000.0,Weekly,Yes,99585209610083,088537918904,gmail.com,2024-01-10,Growth potential
28574020,CUST975280,UD Unggul Nusantara,E-Commerce,Silver,Bandung,Sumatera Utara,2012-07-26,41680000.0,90,Yes,5063,3978900000.0,2-3 Days,Yes,70923405708862,087456146071,gmail.com,2023-09-19,Dormant
47448395,CUST747585,UD Jaya Cemerlang,Distributor,Gold,Denpasar,Kalimantan Timur,2016-01-26,11780000.0,45,Yes,5016,2017000000.0,Weekly,Yes,91039496032749,087125800542,yahoo.com,2024-01-20,Seasonal buyer
83689807,CUST360945,CV Jaya Murni,Export,Silver,Manado,Bali,2021-04-04,25590000.0,14,Yes,5032,61000000.0,2-3 Days,No,44513248546802,081123828545,outlook.com,2022-09-11,Key account
76448088,CUST237850,PT Sejahtera Mandiri,Industrial,Gold,Jakarta,Bali,2017-01-16,130380000.0,90,No,5002,688800000.0,Weekly,No,97428505110538,087283234234,gmail.com,2023-10-14,VIP
92897625,CUST835072,Toko Sejahtera Persada,HoReCa,Gold,Surabaya,Bali,2022-12-30,64740000.0,60,Yes,5074,905600000.0,Weekly,Yes,76077437678812,082700262641,yahoo.com,2024-05-13,Seasonal buyer
74350936,CUST248332,CV Berkah Sejati,Modern Trade,New,Surabaya,DIY,2023-09-15,70200000.0,90,Yes,5055,913500000.0,2-3 Days,No,76480091239305,084884001880,business.id,2022-10-09,Price sensitive
57672026,CUST432857,Toko Segar Persada,Export,Silver,Jakarta,Bali,2016-08-09,21650000.0,90,Yes,5022,284800000.0,2-3 Days,Yes,37798121108266,083431438501,outlook.com,2024-01-25,Price sensitive
25264472,CUST770049,CV Segar Sentosa,E-Commerce,Bronze,Medan,Kalimantan Timur,2022-02-21,68110000.0,45,Yes,5051,19400000.0,2-3 Days,Yes,98330102761300,087261521508,yahoo.com,2022-02-06,Price sensitive
16056664,CUST966691,CV Maju Mandiri,Traditional Trade,Platinum,Palembang,Jawa Tengah,2013-05-18,75670000.0,7,Yes,5071,283000000.0,2-3 Days,No,19534225752634,086567602934,gmail.com,2024-02-14,Key account
13074784,CUST536639,Toko Unggul Indonesia,HoReCa,Gold,Medan,DIY,2015-11-25,3040000.0,60,No,5034,497000000.0,Weekly,No,62688250355763,086102685349,company.co.id,2023-05-28,Price sensitive
69697889,CUST734634,Toko Jaya Nusantara,Distributor,New,Jakarta,Sulawesi Selatan,2014-04-11,8960000.0,60,No,5040,1894600000.0,Weekly,No,54118146248331,089108436157,yahoo.com,2024-08-05,Growth potential
50037092,CUST330028,PT Lestari Mandiri,HoReCa,Silver,Batam,Sumatera Selatan,2020-05-11,1720000.0,90,Yes,5001,929200000.0,Next Day,Yes,92659696197512,081746399595,company.co.id,2024-09-01,Seasonal buyer
79757670,CUST492965,CV Maju Persada,Direct Consumer,Silver,Jakarta,Kalimantan Timur,2014-04-14,8760000.0,60,Yes,5027,2299500000.0,2-3 Days,No,77303861971899,086366912548,yahoo.com,2023-10-16,Loyal customer
43221355,CUST953434,UD Segar Nusantara,Traditional Trade,Gold,Manado,Jawa Timur,2018-08-25,2230000.0,0,Yes,5074,502100000.0,Fortnightly,Yes,87227419817863,087108868960,gmail.com,2023-10-11,Key account
18121068,CUST566043,Toko Unggul Nusantara,Distributor,Silver,Jakarta,Bali,2014-03-10,7150000.0,7,Yes,5047,222000000.0,2-3 Days,No,53605687535403,08136925992,outlook.com,2022-06-03,Dormant
90800494,CUST535370,UD Prima Sejati,Direct Consumer,Bronze,Jakarta,Jawa Timur,2020-09-05,26750000.0,7,Yes,5017,101100000.0,Next Day,Yes,24666396652646,089340867867,outlook.com,2022-09-30,Loyal customer
75104628,CUST707274,CV Abadi Persada,Distributor,Platinum,Jakarta,DIY,2022-06-15,226720000.0,30,No,5027,138500000.0,2-3 Days,Yes,82286198182700,082313229713,outlook.com,2023-08-13,Dormant
11633015,CUST589828,CV Lestari Indonesia,E-Commerce,Gold,Yogyakarta,DIY,2020-04-01,24480000.0,60,Yes,5035,193200000.0,Fortnightly,No,48313922310641,084611391968,company.co.id,2022-06-19,Key account
13074810,CUST977954,UD Makmur Cemerlang,HoReCa,Silver,Jakarta,Sumatera Selatan,2015-09-26,25190000.0,14,Yes,5074,909100000.0,2-3 Days,Yes,11287267697842,083845621125,gmail.com,2024-01-21,Price sensitive
90112381,CUST172350,Toko Segar Murni,E-Commerce,Platinum,Balikpapan,Jawa Timur,2018-11-22,24060000.0,21,Yes,5014,609600000.0,Monthly,Yes,14650658190706,084844214299,company.co.id,2023-12-02,Slow payer
93684094,CUST140859,Toko Segar Pratama,Modern Trade,Platinum,Palembang,DIY,2023-09-06,4250000.0,21,No,5043,317100000.0,2-3 Days,No,26060936101722,083192851515,outlook.com,2023-09-08,Dormant
23331199,CUST905909,UD Segar Murni,Industrial,New,Jakarta,DKI Jakarta,2021-04-10,11670000.0,60,No,5051,264200000.0,Next Day,Yes,83924795065292,085598556764,company.co.id,2024-01-30,Growth potential
56787330,CUST817404,CV Jaya Persada,Distributor,Silver,Jakarta,Bali,2022-05-05,12180000.0,21,Yes,5058,589400000.0,Weekly,Yes,29414622612457,081665193676,outlook.com,2022-08-03,Loyal customer
14811536,CUST552909,CV Berkah Cemerlang,Traditional Trade,Gold,Jakarta,Jawa Barat,2015-03-21,2240000.0,30,Yes,5056,648100000.0,2-3 Days,Yes,79631280238735,087215674671,company.co.id,2024-05-16,Seasonal buyer
66322834,CUST530106,UD Segar Utama,Distributor,Gold,Jakarta,Sulawesi Selatan,2016-04-23,45830000.0,0,Yes,5002,1782300000.0,Next Day,Yes,35504600593036,08551715617,business.id,2022-07-08,Seasonal buyer
56459675,CUST882010,CV Lestari Persada,HoReCa,Silver,Surabaya,DIY,2022-09-11,25500000.0,21,Yes,5054,39700000.0,Weekly,No,10953069599224,086142228987,business.id,2023-04-27,Growth potential
53215654,CUST125594,UD Makmur Pratama,E-Commerce,Silver,Semarang,Kalimantan Timur,2022-07-31,154580000.0,30,Yes,5047,1259800000.0,Weekly,Yes,30955942069926,085906690533,company.co.id,2022-05-03,Dormant
37913000,CUST563443,Toko Abadi Sentosa,HoReCa,New,Batam,Sumatera Selatan,2015-05-17,59460000.0,45,Yes,5063,373500000.0,2-3 Days,Yes,41884224622540,088894145789,company.co.id,2023-12-22,Seasonal buyer
59998635,CUST735617,CV Maju Pratama,Traditional Trade,Silver,Denpasar,Sumatera Utara,2013-09-05,18040000.0,90,Yes,5071,709700000.0,Next Day,Yes,78410077527850,084524907624,company.co.id,2023-02-20,Seasonal buyer
18579885,CUST988115,CV Maju Cemerlang,Distributor,Bronze,Jakarta,Sumatera Utara,2011-01-07,24710000.0,45,Yes,5076,2582400000.0,2-3 Days,No,63968203201238,085889886557,business.id,2023-07-19,Key account
61309357,CUST792404,UD Makmur Nusantara,E-Commerce,Silver,Medan,Jawa Tengah,2022-04-26,62500000.0,60,Yes,5013,1790700000.0,2-3 Days,Yes,21157891013401,082214796594,company.co.id,2023-04-02,VIP
